vid,name
剖胸术,剖胸术
中和试验,中和试验
粪便量,粪便量
隐血试验与含铁血黄素检查,隐血试验与含铁血黄素检查
输卵管通气试验,输卵管通气试验
EAC玫瑰花结形成试验,EAC玫瑰花结形成试验
踝反射,踝反射
肘后三角检查,肘后三角检查
嗜中性杆状粒细胞数,嗜中性杆状粒细胞数
五官MRI检查,五官MRI检查
乳头刺激试验,乳头刺激试验
于夏征,于夏征
硬币叩击征,硬币叩击征
乙型肝炎核心抗体免疫球蛋白G,乙型肝炎核心抗体免疫球蛋白G
游离肝素时间,游离肝素时间
异柠檬酸脱氢酶,异柠檬酸脱氢酶
胎儿碱性蛋白（BFP）,胎儿碱性蛋白（BFP）
乙型肝炎核心抗体免疫球蛋白M,乙型肝炎核心抗体免疫球蛋白M
关节腔液检查,关节腔液检查
肺炎支原体补体结合试验,肺炎支原体补体结合试验
表试验,表试验
β-脂蛋白定量,β-脂蛋白定量
糖化血清蛋白（GSP）,糖化血清蛋白（GSP）
心肌灌注显像,心肌灌注显像
脑脊液5-羟吲哚乙酸,脑脊液5-羟吲哚乙酸
输卵管通液检查,输卵管通液检查
头颅形状,头颅形状
眼底微血管检查,眼底微血管检查
抗着丝点抗体,抗着丝点抗体
过指试验,过指试验
抗心磷脂抗体,抗心磷脂抗体
溶解酶,溶解酶
泪腺检查法,泪腺检查法
脑脊液P物质,脑脊液P物质
血液果糖,血液果糖
胸腹水常规检查,胸腹水常规检查
甲型肝炎抗体,甲型肝炎抗体
肛门反射,肛门反射
脑脊液蛋白电泳,脑脊液蛋白电泳
脐检查,脐检查
气管软化试验,气管软化试验
寄生虫检查的直接涂片法,寄生虫检查的直接涂片法
布莱恩特三角检查,布莱恩特三角检查
乳酸脱氢酶同工酶,乳酸脱氢酶同工酶
粒细胞集落刺激因子,粒细胞集落刺激因子
乳突CT检查,乳突CT检查
激发试验,激发试验
窦道及瘘管造影,窦道及瘘管造影
阴道滴虫检查,阴道滴虫检查
翻转上睑方法,翻转上睑方法
五肽胃泌素胃液分析,五肽胃泌素胃液分析
糖尿病视网膜病变检查,糖尿病视网膜病变检查
"乳酸脱氢酶(LDH,LD)","乳酸脱氢酶(LDH,LD)"
尿比重3h试验,尿比重3h试验
皮肤癌检测,皮肤癌检测
尿胆红素（BIL）,尿胆红素（BIL）
细菌性食物中毒检测,细菌性食物中毒检测
胸廓挤压征,胸廓挤压征
早产视网膜病变筛查,早产视网膜病变筛查
流感病毒抗体,流感病毒抗体
肺量计检测,肺量计检测
尿含铁血红黄素,尿含铁血红黄素
乳房活检,乳房活检
药物迷走神经阻滞试验,药物迷走神经阻滞试验
嗜中性粒细胞核鼓槌小体,嗜中性粒细胞核鼓槌小体
乙醚放散试验,乙醚放散试验
纤维结肠镜检查,纤维结肠镜检查
异常红细胞形态检查,异常红细胞形态检查
纤维蛋白肽Bβ1～42,纤维蛋白肽Bβ1～42
双气囊小肠镜,双气囊小肠镜
胆囊超声波检查,胆囊超声波检查
"维生素B1（VitB1,VB1）","维生素B1（VitB1,VB1）"
意识状态,意识状态
布鲁津斯基征,布鲁津斯基征
肺功能检查,肺功能检查
细菌学检验,细菌学检验
肌酸激酶,肌酸激酶
尿瓜氨酸,尿瓜氨酸
脑氧代谢显像,脑氧代谢显像
全血镍,全血镍
腹部叩诊音,腹部叩诊音
血小板压积(PCT),血小板压积(PCT)
动眼神经检查,动眼神经检查
甲状腺摄131碘试验,甲状腺摄131碘试验
巨噬细胞或白细胞移动抑制试验(MMIT),巨噬细胞或白细胞移动抑制试验(MMIT)
抗胰腺腺泡抗体(PAB),抗胰腺腺泡抗体(PAB)
阴道瘘膀胱镜检查,阴道瘘膀胱镜检查
抗胃壁细胞抗体（APCA）,抗胃壁细胞抗体（APCA）
天门冬氨酸,天门冬氨酸
滑液检查,滑液检查
超氧化物岐化酶,超氧化物岐化酶
前列腺液颜色,前列腺液颜色
随意运动检查,随意运动检查
泪滴状红细胞,泪滴状红细胞
尿谷氨酰转肽酶(UGGT),尿谷氨酰转肽酶(UGGT)
羊水颜色,羊水颜色
促肾上腺皮质激素（ACTH）兴奋试验,促肾上腺皮质激素（ACTH）兴奋试验
硬币叩击试验,硬币叩击试验
血清N-乙酰-β-氨基葡萄糖酶（NAG）,血清N-乙酰-β-氨基葡萄糖酶（NAG）
肝胶体显像,肝胶体显像
甲状腺素(T4),甲状腺素(T4)
"血清氯(Cl-,Cl)","血清氯(Cl-,Cl)"
胸部CT检查,胸部CT检查
抬腿试验,抬腿试验
泪道冲洗,泪道冲洗
甲状旁腺激素,甲状旁腺激素
肺毛细血管楔压,肺毛细血管楔压
4-羟基-3-甲氧基扁桃酸,4-羟基-3-甲氧基扁桃酸
甲基红试验,甲基红试验
脑脊液葡萄糖和血清葡萄糖比值,脑脊液葡萄糖和血清葡萄糖比值
乙醇胶试验,乙醇胶试验
颅脑CT检查,颅脑CT检查
内镜下乳头括约肌切开术（EST）,内镜下乳头括约肌切开术（EST）
卵巢检查,卵巢检查
人绒毛膜促性腺激素（HCG）,人绒毛膜促性腺激素（HCG）
卧立位试验,卧立位试验
血清纤维蛋白降解产物测定,血清纤维蛋白降解产物测定
Fisher手指试验,Fisher手指试验
外生殖器检查,外生殖器检查
血清砷（As）,血清砷（As）
