vid,name
药物治疗如抑酸剂、黏膜保护剂，对症治疗,药物治疗如抑酸剂、黏膜保护剂，对症治疗
药物治疗如抑酸剂、促动力药，黏膜保护剂，内科治疗无效行手术治疗,药物治疗如抑酸剂、促动力药，黏膜保护剂，内科治疗无效行手术治疗
消融,消融
主要是主要针对病因进行治疗，必要时应用起搏器,主要是主要针对病因进行治疗，必要时应用起搏器
口腔修复治疗,口腔修复治疗
停药,停药
药物治疗，改变不良生活方式,药物治疗，改变不良生活方式
药物治疗如胰酶、抑酸、补液、抗感染等综合治疗，病因治疗如处理胆结石、高脂血症等,药物治疗如胰酶、抑酸、补液、抗感染等综合治疗，病因治疗如处理胆结石、高脂血症等
乙醇的抗毒治疗，药物治疗,乙醇的抗毒治疗，药物治疗
中西医排石治疗,中西医排石治疗
早期可输注广谱抗生素。脓肿形成后需要手术切口引流治疗,早期可输注广谱抗生素。脓肿形成后需要手术切口引流治疗
纤支镜气管冲洗术,纤支镜气管冲洗术
大部分可通过内镜取出，少数较大异物或者合并有严重并发症者需手术治疗,大部分可通过内镜取出，少数较大异物或者合并有严重并发症者需手术治疗
饮食疗法,饮食疗法
基础疾病治疗,基础疾病治疗
药物治疗，出现严重并发症死骨形成可手术清除病灶,药物治疗，出现严重并发症死骨形成可手术清除病灶
针灸推拿治疗,针灸推拿治疗
脱敏治疗,脱敏治疗
药物治疗，心理治疗,药物治疗，心理治疗
药物治疗、手术治疗和,药物治疗、手术治疗和
戒酒，,戒酒，
大多数无症状者无需治疗，有症状者根据病情不同可能采用手术治疗,大多数无症状者无需治疗，有症状者根据病情不同可能采用手术治疗
抗真菌治疗,抗真菌治疗
多数不需要治疗，当出现严重呼吸困难时可手术治疗,多数不需要治疗，当出现严重呼吸困难时可手术治疗
射频治疗,射频治疗
预防并发症,预防并发症
小儿纤维支气管镜,小儿纤维支气管镜
康复治疗，语言训练等,康复治疗，语言训练等
粒子植入,粒子植入
药物治疗如促胃肠动力剂与止酸剂，注意饮食调节、半卧位，药物治疗无效者考虑手术治疗如胃底折叠术,药物治疗如促胃肠动力剂与止酸剂，注意饮食调节、半卧位，药物治疗无效者考虑手术治疗如胃底折叠术
小肠移植,小肠移植
一般采用支持疗法,一般采用支持疗法
药物治疗，继发性可能需要手术治疗,药物治疗，继发性可能需要手术治疗
无有效治疗方法,无有效治疗方法
抗生素药物治疗、去除诱发因素、支持性治疗、提高机体免疫力治疗,抗生素药物治疗、去除诱发因素、支持性治疗、提高机体免疫力治疗
中医辨证施治，给以中医药治疗，效果较好,中医辨证施治，给以中医药治疗，效果较好
