vid,name
肝胆外科,肝胆外科
男科,男科
儿科,儿科
肿瘤内科,肿瘤内科
肿瘤科,肿瘤科
小儿内科,小儿内科
眼科,眼科
传染科,传染科
消化内科,消化内科
肛肠科,肛肠科
骨外科,骨外科
心理科,心理科
妇产科,妇产科
儿科综合,儿科综合
急诊科,急诊科
风湿免疫科,风湿免疫科
不孕不育,不孕不育
其他科室,其他科室
生殖健康,生殖健康
妇科,妇科
肾内科,肾内科
泌尿内科,泌尿内科
感染科,感染科
普外科,普外科
烧伤科,烧伤科
呼吸内科,呼吸内科
其他综合,其他综合
外科,外科
肿瘤外科,肿瘤外科
康复科,康复科
五官科,五官科
神经外科,神经外科
内科,内科
心胸外科,心胸外科
精神科,精神科
整形美容科,整形美容科
泌尿外科,泌尿外科
中医科,中医科
皮肤科,皮肤科
产科,产科
心内科,心内科
遗传病科,遗传病科
减肥,减肥
性病科,性病科
肝病,肝病
内分泌科,内分泌科
小儿外科,小儿外科
中医综合,中医综合
耳鼻喉科,耳鼻喉科
神经内科,神经内科
口腔科,口腔科
营养科,营养科
皮肤性病科,皮肤性病科
血液科,血液科
