vid,name
伤痛宁膏,伤痛宁膏
杞菊地黄口服液,杞菊地黄口服液
消炎利胆软胶囊,消炎利胆软胶囊
富马酸依美斯汀滴眼液,富马酸依美斯汀滴眼液
五子衍宗片,五子衍宗片
萆薢分清丸,萆薢分清丸
调经促孕丸,调经促孕丸
头孢氨苄胶囊,头孢氨苄胶囊
维生素B2注射液,维生素B2注射液
坤宁颗粒,坤宁颗粒
小儿功劳止泻颗粒,小儿功劳止泻颗粒
前列通片,前列通片
通便灵胶囊,通便灵胶囊
硼酸氧化锌冰片软膏,硼酸氧化锌冰片软膏
注射用泮托拉唑钠,注射用泮托拉唑钠
眼氨肽滴眼液,眼氨肽滴眼液
龙胆泻肝口服液,龙胆泻肝口服液
小儿肺热咳喘颗粒,小儿肺热咳喘颗粒
醋酸甲羟孕酮分散片,醋酸甲羟孕酮分散片
二十六味通经散,二十六味通经散
痫愈胶囊,痫愈胶囊
复方斯亚旦生发酊,复方斯亚旦生发酊
产妇康洗液,产妇康洗液
复方尿囊素片,复方尿囊素片
C14～24,C14～24
当归腹痛宁滴丸,当归腹痛宁滴丸
美雄酮片,美雄酮片
盐酸赖氨酸葡萄糖注射液,盐酸赖氨酸葡萄糖注射液
诺氟沙星片,诺氟沙星片
司帕沙星分散片,司帕沙星分散片
氧氟沙星栓,氧氟沙星栓
全鹿丸,全鹿丸
消结安口服液,消结安口服液
冰珍清目滴眼液,冰珍清目滴眼液
江西京通美联一清颗粒,江西京通美联一清颗粒
磷霉素钙胶囊,磷霉素钙胶囊
天王补心丸,天王补心丸
脑血康丸,脑血康丸
氟尿嘧啶口服乳,氟尿嘧啶口服乳
鞣酸加压素注射液,鞣酸加压素注射液
辣椒碱乳膏,辣椒碱乳膏
鱼肝油乳,鱼肝油乳
利肺片,利肺片
注射用盐酸罂粟碱,注射用盐酸罂粟碱
拨云复光散,拨云复光散
三磷酸腺苷二钠片,三磷酸腺苷二钠片
清凉止痒搽剂,清凉止痒搽剂
镇痫片,镇痫片
四物颗粒,四物颗粒
苹果酸舒尼替尼胶囊,苹果酸舒尼替尼胶囊
乌鸡桂圆养血口服液,乌鸡桂圆养血口服液
复方甘草酸苷片,复方甘草酸苷片
龙虎人丹,龙虎人丹
乳癖舒胶囊,乳癖舒胶囊
化痔胶囊,化痔胶囊
清肺散结丸,清肺散结丸
二十九味能消散,二十九味能消散
复方角菜酸酯栓,复方角菜酸酯栓
痔疮片,痔疮片
炔诺酮片,炔诺酮片
补中益气合剂,补中益气合剂
西罗莫司片,西罗莫司片
乐孕宁颗粒,乐孕宁颗粒
利胆石颗粒,利胆石颗粒
通窍鼻炎片,通窍鼻炎片
五维他口服溶液,五维他口服溶液
养阴清肺丸,养阴清肺丸
左甲状腺素钠片,左甲状腺素钠片
肺宁片,肺宁片
甘油氯化钠注射液,甘油氯化钠注射液
苏黄止咳胶囊,苏黄止咳胶囊
复方硫酸软骨素滴眼液,复方硫酸软骨素滴眼液
抗骨增生片,抗骨增生片
茵莲清肝合剂,茵莲清肝合剂
氨基比林咖啡因片,氨基比林咖啡因片
斑蝥素乳膏,斑蝥素乳膏
地塞米松片,地塞米松片
利奈唑胺片,利奈唑胺片
乳核内消液,乳核内消液
高三尖杉酯碱注射液,高三尖杉酯碱注射液
稀甘油,稀甘油
头孢地尼分散片,头孢地尼分散片
排毒养颜片,排毒养颜片
藏青果颗粒,藏青果颗粒
三维葡磷钙咀嚼片,三维葡磷钙咀嚼片
牛黄解毒片,牛黄解毒片
复方酮康唑发用洗剂,复方酮康唑发用洗剂
十五味赛尔斗丸,十五味赛尔斗丸
苯妥英钠片,苯妥英钠片
消石利胆胶囊,消石利胆胶囊
葛根素葡萄糖注射液,葛根素葡萄糖注射液
注射用细胞色素C,注射用细胞色素C
复方奎宁注射液,复方奎宁注射液
维生素B2片,维生素B2片
曲克芦丁口服溶液,曲克芦丁口服溶液
复方曲安奈德乳膏,复方曲安奈德乳膏
安络痛胶囊,安络痛胶囊
红金消结片,红金消结片
保和颗粒,保和颗粒
8-11,8-11
普济痔疮栓,普济痔疮栓
注射用青霉素钠,注射用青霉素钠
美辛唑酮栓,美辛唑酮栓
盐酸坦洛新缓释胶囊,盐酸坦洛新缓释胶囊
地喹氯铵含片,地喹氯铵含片
归芪口服液,归芪口服液
至灵菌丝胶囊,至灵菌丝胶囊
注射用氨苄西林钠,注射用氨苄西林钠
羚珠散,羚珠散
复方锌铁钙口服溶液,复方锌铁钙口服溶液
宫炎平滴丸,宫炎平滴丸
硫软膏,硫软膏
注射用氢化可的松琥珀酸钠,注射用氢化可的松琥珀酸钠
吸入用伊洛前列素溶液,吸入用伊洛前列素溶液
2∶1,2∶1
头孢氨苄缓释片,头孢氨苄缓释片
氟胞嘧啶片,氟胞嘧啶片
环孢素口服溶液,环孢素口服溶液
注射用丝裂霉素,注射用丝裂霉素
阿咖酚散,阿咖酚散
甘草锌颗粒,甘草锌颗粒
十全大补酒,十全大补酒
醋甲唑胺片,醋甲唑胺片
二乙酰氨乙酸乙二胺氯化钠注射液,二乙酰氨乙酸乙二胺氯化钠注射液
注射用盐酸平阳霉素,注射用盐酸平阳霉素
宫血宁胶囊,宫血宁胶囊
肌苷注射液,肌苷注射液
利巴韦林片,利巴韦林片
甘露聚糖肽胶囊,甘露聚糖肽胶囊
强肝糖浆,强肝糖浆
盐酸左氧氟沙星软膏,盐酸左氧氟沙星软膏
血府逐瘀丸,血府逐瘀丸
盐酸维拉帕米片,盐酸维拉帕米片
保儿安颗粒,保儿安颗粒
利巴韦林胶囊,利巴韦林胶囊
碳酸钙颗粒,碳酸钙颗粒
门冬胰岛素注射液,门冬胰岛素注射液
脾胃舒丸,脾胃舒丸
金嗓散结片,金嗓散结片
毛冬青胶囊,毛冬青胶囊
富马酸酮替芬片,富马酸酮替芬片
云芝肝泰颗粒,云芝肝泰颗粒
雪山金罗汉止痛涂膜剂,雪山金罗汉止痛涂膜剂
水杨酸苯酚贴膏,水杨酸苯酚贴膏
复方白芷酊,复方白芷酊
盐酸氮芥酊,盐酸氮芥酊
阿娜尔妇洁液,阿娜尔妇洁液
八味沉香丸,八味沉香丸
益肝活血明目丸,益肝活血明目丸
钆双胺注射液,钆双胺注射液
复方樟柳碱注射液,复方樟柳碱注射液
藻酸双酯钠片,藻酸双酯钠片
吡喹酮片,吡喹酮片
复方甘草酸苷胶囊,复方甘草酸苷胶囊
抗病毒软胶囊,抗病毒软胶囊
调经止痛胶囊,调经止痛胶囊
前列舒乐片,前列舒乐片
缩泉胶囊,缩泉胶囊
天然胡萝卜素胶丸,天然胡萝卜素胶丸
氢溴酸加兰他敏片,氢溴酸加兰他敏片
氧氟沙星眼膏,氧氟沙星眼膏
肾炎安胶囊,肾炎安胶囊
雪梨膏,雪梨膏
脑乐静,脑乐静
断血流胶囊,断血流胶囊
