vid,name
软熘鲤鱼,软熘鲤鱼
茄香牛肉刀削面,茄香牛肉刀削面
双菇拌鸡肉,双菇拌鸡肉
栗子炒芹菜,栗子炒芹菜
荷叶豆腐,荷叶豆腐
银鱼芥菜,银鱼芥菜
拔丝山慈姑,拔丝山慈姑
西米猕猴桃粥,西米猕猴桃粥
蜂蜜,蜂蜜
拌麻辣黄瓜,拌麻辣黄瓜
参姜小米粥,参姜小米粥
南瓜猪肉夹,南瓜猪肉夹
牡蛎肉末粥,牡蛎肉末粥
丝瓜豆腐响螺汤,丝瓜豆腐响螺汤
凉拌圆白菜,凉拌圆白菜
紫苏肉片粥,紫苏肉片粥
羊油,羊油
绿豆南瓜汤,绿豆南瓜汤
干炸带鱼,干炸带鱼
山药葡萄粥,山药葡萄粥
步鱼蔬菜羹,步鱼蔬菜羹
蛋蓉菜花汤,蛋蓉菜花汤
莲子粥,莲子粥
人参粥,人参粥
草虾,草虾
清盐菜花,清盐菜花
山药饼,山药饼
荠菜汤,荠菜汤
黄瓜拌鸡丝,黄瓜拌鸡丝
火腿面片粥,火腿面片粥
番茄黄瓜汁,番茄黄瓜汁
荠菜淡菜汤,荠菜淡菜汤
荔枝圆肉汤,荔枝圆肉汤
炒素鸡丝,炒素鸡丝
土茯苓黄芪猪骨汤,土茯苓黄芪猪骨汤
牛肉铁锅,牛肉铁锅
白扁豆粳米粥,白扁豆粳米粥
生菜拌腰片,生菜拌腰片
萝卜丝拌海蜇皮,萝卜丝拌海蜇皮
胡萝卜土豆丝,胡萝卜土豆丝
枸杞炖鸽蛋,枸杞炖鸽蛋
芦荟蜜,芦荟蜜
鱼肉,鱼肉
芹菜炒肉片,芹菜炒肉片
鲮鱼罐头,鲮鱼罐头
甘蔗姜汁,甘蔗姜汁
猪肝,猪肝
烧饼夹肉,烧饼夹肉
马齿苋芡实瘦肉汤,马齿苋芡实瘦肉汤
香糟鸡,香糟鸡
草菇煮豆腐,草菇煮豆腐
莲藕发菜冬菇汤,莲藕发菜冬菇汤
发菜鸡杂汤,发菜鸡杂汤
胡桃黑豆饮,胡桃黑豆饮
水果冷汤,水果冷汤
红豆糯米粥,红豆糯米粥
