vid,name
浙江瑞新司莫司汀胶囊,浙江瑞新司莫司汀胶囊
上海禾丰乙酰谷酰胺注射液,上海禾丰乙酰谷酰胺注射液
阿法迪三,阿法迪三
恒瑞医药注射用甲氨蝶呤,恒瑞医药注射用甲氨蝶呤
金柯制药黄藤素片,金柯制药黄藤素片
广州白云山中一安胎丸,广州白云山中一安胎丸
迎春三磷酸腺苷二钠片,迎春三磷酸腺苷二钠片
晨牌药业云芝胞内糖肽胶囊,晨牌药业云芝胞内糖肽胶囊
江苏康缘注射用香菇多糖,江苏康缘注射用香菇多糖
天津万嘉诺氟沙星滴眼液,天津万嘉诺氟沙星滴眼液
唐山利康制药盐酸氟桂利嗪胶,唐山利康制药盐酸氟桂利嗪胶
江苏精华制药丙硫氧嘧啶片,江苏精华制药丙硫氧嘧啶片
湖北绿金子五维他口服溶液,湖北绿金子五维他口服溶液
四川制药制剂注射用阿洛西林,四川制药制剂注射用阿洛西林
大峻药业荡石片,大峻药业荡石片
上海信谊鱼肝油酸钠注射液,上海信谊鱼肝油酸钠注射液
天津金耀盐酸肾上腺素注射液,天津金耀盐酸肾上腺素注射液
益民堂制药胰胆舒胶囊,益民堂制药胰胆舒胶囊
眼氨肽滴眼液,眼氨肽滴眼液
孔圣堂制药白带丸,孔圣堂制药白带丸
宏济堂制药利胆片,宏济堂制药利胆片
欣欣,欣欣
上海上药新亚药业注射用硫代,上海上药新亚药业注射用硫代
辰欣药业牛磺酸滴眼液,辰欣药业牛磺酸滴眼液
内蒙古库伦红花清肝十三味丸,内蒙古库伦红花清肝十三味丸
齐都药业尼麦角林片,齐都药业尼麦角林片
南峰药业黄柏胶囊,南峰药业黄柏胶囊
仁和闪亮氧氟沙星滴眼液,仁和闪亮氧氟沙星滴眼液
露达舒,露达舒
太平酮康唑乳膏,太平酮康唑乳膏
圣特药业三七片,圣特药业三七片
北京御本堂精制冠心片,北京御本堂精制冠心片
利民制药吡拉西坦注射液,利民制药吡拉西坦注射液
维敏制药胶体酒石酸铋胶囊,维敏制药胶体酒石酸铋胶囊
广东万方肺气肿片,广东万方肺气肿片
北京东升养血安神颗粒,北京东升养血安神颗粒
洛阳顺势维血宁,洛阳顺势维血宁
奇星药业龙凤宝胶囊,奇星药业龙凤宝胶囊
山西云鹏制药呋塞米片,山西云鹏制药呋塞米片
劳克结核丸,劳克结核丸
辽宁东方人玄麦甘桔颗粒,辽宁东方人玄麦甘桔颗粒
天天明制药氧氟沙星滴眼液,天天明制药氧氟沙星滴眼液
泰邦人凝血因子Ⅷ,泰邦人凝血因子Ⅷ
马应龙前列通栓,马应龙前列通栓
方盛制药止血宁胶囊,方盛制药止血宁胶囊
湖北欧立紫杉醇注射液,湖北欧立紫杉醇注射液
龙泰制药排毒养颜片,龙泰制药排毒养颜片
格拉丹东药业愈伤灵胶囊,格拉丹东药业愈伤灵胶囊
海南制药一厂甲硝唑维B6片,海南制药一厂甲硝唑维B6片
云南铭鼎胃康灵胶囊,云南铭鼎胃康灵胶囊
中化联合制药注射用氟尿嘧啶,中化联合制药注射用氟尿嘧啶
广州粤华小儿七星茶颗粒,广州粤华小儿七星茶颗粒
悦康药业注射用头孢哌酮钠舒,悦康药业注射用头孢哌酮钠舒
三精葡萄糖酸钙口服溶液,三精葡萄糖酸钙口服溶液
河南九势制药苯妥英钠片,河南九势制药苯妥英钠片
同达莫星阿莫西林分散片,同达莫星阿莫西林分散片
赛治,赛治
合心爽,合心爽
特苏尼,特苏尼
仁和堂马来酸氯苯那敏片,仁和堂马来酸氯苯那敏片
大连水产维生素E软胶囊,大连水产维生素E软胶囊
浙江万晟阿苯达唑片,浙江万晟阿苯达唑片
云鹏呋喃唑酮片,云鹏呋喃唑酮片
东新药业贝诺酯片,东新药业贝诺酯片
欧意阿司匹林肠溶片,欧意阿司匹林肠溶片
海王盐酸地尔硫卓片,海王盐酸地尔硫卓片
苏州中化格列吡嗪片,苏州中化格列吡嗪片
九发创灼膏,九发创灼膏
潍坊制药乙酰谷酰胺注射液,潍坊制药乙酰谷酰胺注射液
德昌祥归脾丸,德昌祥归脾丸
北京中新制药琥乙红霉素片,北京中新制药琥乙红霉素片
普正红花逍遥片,普正红花逍遥片
石药欧意桂利嗪片,石药欧意桂利嗪片
福抗药业氢溴酸山莨菪碱片,福抗药业氢溴酸山莨菪碱片
广西禅方药业益母草颗粒,广西禅方药业益母草颗粒
吉林吉春荡石片,吉林吉春荡石片
北京同仁堂十香丸,北京同仁堂十香丸
克林澳,克林澳
万通金牛小儿脐风散,万通金牛小儿脐风散
济南三九益民吡拉西坦葡萄糖,济南三九益民吡拉西坦葡萄糖
安康正大乳块消胶囊,安康正大乳块消胶囊
浙江瑞新硫酸阿托品片,浙江瑞新硫酸阿托品片
俞氏酒石酸美托洛尔缓释片,俞氏酒石酸美托洛尔缓释片
复达欣,复达欣
云南白药土霉素片,云南白药土霉素片
百益制药关节止痛膏,百益制药关节止痛膏
赛乐林,赛乐林
上海雷允上药业羚羊角散,上海雷允上药业羚羊角散
郑州卓峰维生素C注射液,郑州卓峰维生素C注射液
苯妥英钠片,苯妥英钠片
黄河药业卡马西平片,黄河药业卡马西平片
赛兰,赛兰
江苏聚荣麦味地黄口服液,江苏聚荣麦味地黄口服液
湖南亚大硫酸锌片,湖南亚大硫酸锌片
威光参志胶囊,威光参志胶囊
江西仁丰跌打损伤丸,江西仁丰跌打损伤丸
长春普华熊胆丸,长春普华熊胆丸
广东华润顺峰尿素乳膏,广东华润顺峰尿素乳膏
扬子江药业乙酰谷酰胺注射液,扬子江药业乙酰谷酰胺注射液
立华制药舒筋活血片,立华制药舒筋活血片
葵花药业氨甲环酸片,葵花药业氨甲环酸片
五景药业消旋山莨菪碱滴眼液,五景药业消旋山莨菪碱滴眼液
安徽新陇海雷公藤多苷片,安徽新陇海雷公藤多苷片
山东健康药业盐酸硫必利片,山东健康药业盐酸硫必利片
广西万通龙胆泻肝片,广西万通龙胆泻肝片
海南通用同盟硫酸奈替米星注,海南通用同盟硫酸奈替米星注
天甲元,天甲元
中化联合制药注射用氨酪酸,中化联合制药注射用氨酪酸
上海全宇氢化可的松片,上海全宇氢化可的松片
普美拉泰,普美拉泰
大峻药业镇痫片,大峻药业镇痫片
辉南辉发肌氨肽苷注射液,辉南辉发肌氨肽苷注射液
世一堂附桂骨痛胶囊,世一堂附桂骨痛胶囊
白云山医药琥乙红霉素片,白云山医药琥乙红霉素片
上海长城药业舒必利片,上海长城药业舒必利片
北京万生药业苯磺酸氨氯地平,北京万生药业苯磺酸氨氯地平
山西仁源堂接骨续筋片,山西仁源堂接骨续筋片
山西万辉生化丸,山西万辉生化丸
上海新亚注射用放线菌素D,上海新亚注射用放线菌素D
美图制药硫酸镁注射液,美图制药硫酸镁注射液
山西华康明目地黄丸,山西华康明目地黄丸
黑龙江参鸽保胎无忧散,黑龙江参鸽保胎无忧散
芙露饮,芙露饮
昊邦草乌甲素片,昊邦草乌甲素片
杭州华威药业三七片,杭州华威药业三七片
首和金海氯化钠注射液,首和金海氯化钠注射液
江苏吴中苏州制药甘露聚糖肽,江苏吴中苏州制药甘露聚糖肽
北京御生堂明目地黄丸,北京御生堂明目地黄丸
方盛制药黄柏胶囊,方盛制药黄柏胶囊
泉州亚泰制药赛霉安散,泉州亚泰制药赛霉安散
维必朗氯氮平口腔崩解片,维必朗氯氮平口腔崩解片
利巴韦林片,利巴韦林片
国润制药小儿复方磺胺甲噁唑,国润制药小儿复方磺胺甲噁唑
山东齐都甲硝唑片,山东齐都甲硝唑片
湖南科伦葡萄糖氯化钠注射液,湖南科伦葡萄糖氯化钠注射液
西安远大德天药业注射用脂溶,西安远大德天药业注射用脂溶
南京同仁堂小金丸,南京同仁堂小金丸
阜药红花清肝十三味丸,阜药红花清肝十三味丸
凤凰白云山药业十全大补膏,凤凰白云山药业十全大补膏
誉隆亚东药业复方吡拉西坦脑,誉隆亚东药业复方吡拉西坦脑
白云山滴通鼻炎水,白云山滴通鼻炎水
长春海外制药舒神灵胶囊,长春海外制药舒神灵胶囊
广州迈特兴华吡喹酮片,广州迈特兴华吡喹酮片
石药欧意罗红霉素片,石药欧意罗红霉素片
悦胜芜湖消癌平胶囊,悦胜芜湖消癌平胶囊
正大青春宝宁心宝胶囊,正大青春宝宁心宝胶囊
滨欣,滨欣
延边药业胃乐新胶囊,延边药业胃乐新胶囊
白天鹅药业乳酸菌素片,白天鹅药业乳酸菌素片
中新达仁堂天王补心丸,中新达仁堂天王补心丸
陕西华龙轻身减肥片,陕西华龙轻身减肥片
江苏晨牌产妇安颗粒,江苏晨牌产妇安颗粒
华南药业盐酸吡硫醇片,华南药业盐酸吡硫醇片
马利兰,马利兰
天峰制药硫酸镁注射液,天峰制药硫酸镁注射液
惠海希康制药肿节风软胶囊,惠海希康制药肿节风软胶囊
沈阳澳华制药奥美拉唑肠溶胶,沈阳澳华制药奥美拉唑肠溶胶
陕西渭南华仁硬脂酸红霉素片,陕西渭南华仁硬脂酸红霉素片
长征富民金山甘油氯化钠注射,长征富民金山甘油氯化钠注射
江苏鹏鹞盐酸普罗帕酮注射液,江苏鹏鹞盐酸普罗帕酮注射液
江苏四环生物盐酸维拉帕米片,江苏四环生物盐酸维拉帕米片
吉林吉春参皇软膏,吉林吉春参皇软膏
武汉中联硬脂酸红霉素片,武汉中联硬脂酸红霉素片
西南二药磷酸氯喹片,西南二药磷酸氯喹片
国药一心注射用胸腺五肽,国药一心注射用胸腺五肽
青海帝玛尔回生甘露丸,青海帝玛尔回生甘露丸
天津金耀盐酸苯海拉明注射液,天津金耀盐酸苯海拉明注射液
海南通用三洋注射用甲硝唑磷,海南通用三洋注射用甲硝唑磷
江西远东药业养血当归糖浆,江西远东药业养血当归糖浆
辰欣红霉素软膏,辰欣红霉素软膏
天医生物制药胰激肽原酶肠溶,天医生物制药胰激肽原酶肠溶
正大青春宝酒石酸美托洛尔注,正大青春宝酒石酸美托洛尔注
容生硫酸庆大霉素注射液,容生硫酸庆大霉素注射液
旭东海普硫酸镁注射液,旭东海普硫酸镁注射液
珠海联邦阿莫西林克拉维酸钾,珠海联邦阿莫西林克拉维酸钾
御本堂药业大枫子油,御本堂药业大枫子油
湖北诺得胜天王补心丸,湖北诺得胜天王补心丸
天泰药业降糖舒片,天泰药业降糖舒片
颗乐芪斛楂颗粒,颗乐芪斛楂颗粒
湖北恒安维A酸乳膏,湖北恒安维A酸乳膏
东北盐酸金刚烷胺片,东北盐酸金刚烷胺片
海真珠维酶素片,海真珠维酶素片
敖东延吉乙酰谷酰胺注射液,敖东延吉乙酰谷酰胺注射液
五景地塞米松磷酸钠滴眼液,五景地塞米松磷酸钠滴眼液
新命源复方苁蓉益智胶囊,新命源复方苁蓉益智胶囊
安庆药业明目地黄丸,安庆药业明目地黄丸
上海禾丰呋塞米注射液,上海禾丰呋塞米注射液
导升明,导升明
沈阳兴齐眼药双氯芬酸钠滴眼,沈阳兴齐眼药双氯芬酸钠滴眼
白云山光华磷酸氯喹片,白云山光华磷酸氯喹片
白云山明兴注射用培美曲塞二,白云山明兴注射用培美曲塞二
上海普康卡托普利片,上海普康卡托普利片
白云山制药总厂琥乙红霉素片,白云山制药总厂琥乙红霉素片
长春长红盐酸吗啉胍片,长春长红盐酸吗啉胍片
安替,安替
恒诚制药复方鱼腥草片,恒诚制药复方鱼腥草片
迪赛生物复方甘草酸单铵注射,迪赛生物复方甘草酸单铵注射
百会药业醋酸泼尼松片,百会药业醋酸泼尼松片
山西德元堂骨筋丸胶囊,山西德元堂骨筋丸胶囊
安邦制药舒筋活血胶囊,安邦制药舒筋活血胶囊
中山恒生妇月康胶囊,中山恒生妇月康胶囊
邛崃天银银杏蜜环口服溶液,邛崃天银银杏蜜环口服溶液
浙江天一堂益母草膏,浙江天一堂益母草膏
江苏美通酒石酸美托洛尔片,江苏美通酒石酸美托洛尔片
同济现代医药百癣夏塔热片,同济现代医药百癣夏塔热片
广州白云山和记黄埔中药鼻炎,广州白云山和记黄埔中药鼻炎
都邦药业甘油氯化钠注射液,都邦药业甘油氯化钠注射液
天方药业呋噻米片,天方药业呋噻米片
长春迪瑞复方托吡卡胺滴眼液,长春迪瑞复方托吡卡胺滴眼液
安徽昌宏氢溴酸山莨菪碱片,安徽昌宏氢溴酸山莨菪碱片
上海中西三维溴吡斯的明片,上海中西三维溴吡斯的明片
江西药都樟树补中益气合剂,江西药都樟树补中益气合剂
上海上药维生素K1注射液,上海上药维生素K1注射液
彼迪药业氟康唑胶囊,彼迪药业氟康唑胶囊
山西新星制药芦丁片,山西新星制药芦丁片
