vid,name
牙齿松动和脱落,牙齿松动和脱落
绝经,绝经
腹肌紧张,腹肌紧张
小腿水肿,小腿水肿
脂肪浸润,脂肪浸润
输卵管粘连,输卵管粘连
咽部灼热疼痛,咽部灼热疼痛
巨乳,巨乳
消化管蠕动不协调,消化管蠕动不协调
脑痉挛,脑痉挛
髌骨劳损,髌骨劳损
无名指不明原因疼痛,无名指不明原因疼痛
膝腱反射消失,膝腱反射消失
阑尾缺血充血,阑尾缺血充血
尿暗黑色,尿暗黑色
反胃,反胃
恐水症,恐水症
夜间肩痛,夜间肩痛
产育过多后腰痛,产育过多后腰痛
胸闷,胸闷
吸吮反射阳性,吸吮反射阳性
脉氧合不足,脉氧合不足
女性腰骶生理性...,女性腰骶生理性...
口涩,口涩
尿流缓慢,尿流缓慢
胃慢性出血,胃慢性出血
臀中肌损伤,臀中肌损伤
儿童退缩行为,儿童退缩行为
局灶症状,局灶症状
脚脱皮,脚脱皮
胆结石,胆结石
肾小球有病理形态改变,肾小球有病理形态改变
牙齿数目不足,牙齿数目不足
肘关节伸直位内...,肘关节伸直位内...
所淑芳,所淑芳
色情行为,色情行为
进食后出现弥漫...,进食后出现弥漫...
睑缘呈横“S”形下垂,睑缘呈横“S”形下垂
恶臭便,恶臭便
肛内分泌物多,肛内分泌物多
失眠,失眠
胃嵌顿,胃嵌顿
产道裂伤,产道裂伤
上肢及肩向下牵...,上肢及肩向下牵...
室上性心律失常,室上性心律失常
胃食管反流症状,胃食管反流症状
血虚脱发,血虚脱发
卵泡刺激素(F...,卵泡刺激素(F...
下腹局部疼痛,下腹局部疼痛
场所恐惧,场所恐惧
右胸痛,右胸痛
舌质红绛,舌质红绛
眼睑畸形,眼睑畸形
肝内淤胆,肝内淤胆
上行性皮肤麻木,上行性皮肤麻木
慢性胃痛,慢性胃痛
脊神经根受损,脊神经根受损
股部内侧靠近阴...,股部内侧靠近阴...
脉速而无力,脉速而无力
阴道出血,阴道出血
额横纹增深,额横纹增深
脊髓缺血,脊髓缺血
肾病综合征,肾病综合征
脊髓受压,脊髓受压
无腋毛,无腋毛
四肢麻木,四肢麻木
肢体忽冷忽热，...,肢体忽冷忽热，...
软骨发育不良与...,软骨发育不良与...
心脏扩大,心脏扩大
鼻端弥漫性潮红,鼻端弥漫性潮红
躁郁样,躁郁样
头沉,头沉
糖耐量降低,糖耐量降低
收缩期杂音,收缩期杂音
上半身代偿性多汗症,上半身代偿性多汗症
腹满,腹满
垂体性闭经,垂体性闭经
机械地重复周围...,机械地重复周围...
面肌及颈肌紧张,面肌及颈肌紧张
凹甲,凹甲
男性型肥胖,男性型肥胖
晨起前额疼，午后减轻,晨起前额疼，午后减轻
伸臂握手疼痛,伸臂握手疼痛
尿渗透压下降,尿渗透压下降
沥青烧伤,沥青烧伤
第二性征改变,第二性征改变
慢性面容,慢性面容
缺铁性贫血,缺铁性贫血
不良建筑综合征,不良建筑综合征
鼻粘膜溃疡和萎缩,鼻粘膜溃疡和萎缩
隐性产后出血,隐性产后出血
指甲翘起,指甲翘起
过分地惊跳反应,过分地惊跳反应
眉毛变白,眉毛变白
