src_id,tag_id
智力低下,癫痫
急性眼眶蜂窝织炎,视网膜脱离
女性假两性畸形,闭经
胃石症,胃溃疡
湿热蕴脾,脑囊虫病
胎儿宫内窘迫,胎死宫内
斯蒂尔病,肺炎
咽部麻风,面瘫
中满,肠梗阻
卵巢炎,内分泌失调
小儿疳痢,脾虚泄泻
房室管畸形,三尖瓣关闭不全
职业病,棉尘肺
弹性假黄瘤,心绞痛
皮肤肿瘤,基底细胞癌
外阴痛,前庭大腺囊肿
骨血管内皮细胞瘤,骨折
变形杆菌食物中毒,休克
异位急性阑尾炎,肠梗阻
药物过敏,肾功能衰竭
出血性脑中风,褥疮
玻璃体积血,青光眼
睾丸癌,男性乳房肥大症
急性嗜酸性粒细胞性肺炎,咳嗽
先天性X因子缺乏,血栓形成
Pick病和额颞痴呆,褥疮
小儿雅司病,骨质疏松
十二指肠憩室,黄疸
湄公血吸虫病,结肠癌
注意缺陷障碍,自闭症
老年人肠易激综合征,失眠
小儿珠蛋白生成障碍性贫血,水肿
老年人非霍奇金恶性淋巴肿瘤,骨折
小儿肝肿瘤,贫血
沙眼,慢性泪囊炎
慢性中耳炎,耳聋
酒精性肝硬化,原发性腹膜炎
老年人慢性支气管炎,支气管扩张
食管异位组织,肺炎
脑损伤后综合征,多汗症
新生儿坏死性小肠结肠炎,败血症
股动脉损伤,失血性休克
妊娠合并红细胞增多症,骨髓纤维化
小儿肾上腺皮质与髓质增生并存综合征,头痛
慢性鼻炎,肿胀
小儿贲门失弛缓症,肺脓肿
巨大胎儿,臂丛神经损伤
脑胶质瘤,智能障碍
合成树脂与塑料所致的皮肤病,恶心和呕吐
脑膨出,癫痫
金黄色葡萄球菌肺炎,成人呼吸窘迫综合征
新生儿先天性膈疝,新生儿呼吸窘迫综合征
镇痛剂肾病,幽门梗阻
急性乳突炎,脑膜炎
结节性红斑,白血病
脊髓空洞症,瘫痪
螺菌病,贫血
微小病变型肾病,肾性糖尿
小儿气管、支气管异物,肺脓肿
口腔颌面部损伤,口腔颌面部间隙感染
肠道病毒71型感染,延髓性麻痹
人免疫缺陷病毒感染性肾损害,糖尿病
胰腺损伤,腹胀
扩张型心肌病,胸腔积液
光线性弹力纤维病,物理性皮肤病
小儿有机磷农药中毒,瘫痪
椎间隙感染,截瘫
颅狭症,脊柱裂
隐球菌病,败血症
艾滋病,多发性肌炎
慢性自律性房性心动过速,充血性心力衰竭
急进性肾小球肾炎,腹水
肺性脑病,腹泻
鼻出血,巨幼细胞性贫血
筋瘤,血栓性浅静脉炎
胃病,急性胃扩张
变态反应性结膜炎,睑球粘连
变应性血管炎,便血
阿-斯综合征,吸入性肺炎
巨大裂孔性视网膜脱离,白内障
滑膜囊肿,关节疼痛
腹股沟淋巴结炎,脓肿
继发性高血压,肾功能衰竭
恶性高血压,高血压危象
非闭塞性肠系膜血管缺血,血栓形成
溃疡性肠炎,虹膜炎
右心室双出口,肺炎
心房颤动,心律失常
小儿分离性焦虑症,小儿学校恐怖症
直肠脱垂直肠壁内疝,腹胀
肠炎,便血
白血病肾损害,慢性肾功能衰竭
女性性高潮障碍,性功能障碍
急性牙髓炎,牙髓病
前置胎盘,贫血
神经莱姆病,关节疼痛
梅克尔憩室,腹膜炎
儿童口吃,遗尿
新生儿颅内出血,共济失调
不孕不育,排卵障碍
青春型精神分裂症,情感障碍
高胰岛素血症,高血脂
先天性肾病综合征,腹水
脊髓型颈椎病,瘫痪
黏多糖贮积症Ⅳ型,小儿遗传性痉挛性截瘫
外层渗出性视网膜病变,白内障
溃疡性肠炎,结肠癌
老年人嗜铬细胞瘤危象,肺水肿
免疫介导性肾脏病,肺炎
回旋状脉络膜视网膜萎缩,白内障
传染性脓疱病,败血症
血压病,心力衰竭
阴茎结核,血尿
