src_id,tag_id
腰疝,十香暖脐膏
假性醛固酮减少症,枸橼酸钾缓释片
非特异性尿道炎,阿奇霉素片
神经性肌强直,三磷酸腺苷二钠注射液
心脏转移性恶性黑色素瘤,羟基脲片
小肠实热,肠内营养混悬液(SP)
血劳,参茸卫生丸
脑膜癌病,苦参碱氯化钠注射液
冠状动脉供血不足,果糖二磷酸钙片
酸中毒,布美他尼片
恶性高血压,奥美沙坦酯片
牙科病,头孢氨苄胶囊
二尖瓣和主动脉瓣的疾患,琥乙红霉素颗粒
泡性眼炎,盐酸西替利嗪片
白淫,益肾灵颗粒
曲霉球,伊曲康唑胶囊
新生儿心律失常,盐酸甲氯芬酯胶囊
海洛因肾脏病,呋塞米片
肛乳头炎,左氧氟沙星片
持续性交接区折返性心动过速,宁心宝胶囊
小儿软组织肉瘤,注射用盐酸平阳霉素
朗格汉斯细胞组织细胞增生症,复方斑蝥胶囊
广泛性焦虑障碍,盐酸帕罗西汀片
雀斑,养荣祛斑膏
脑血管病,尼莫地平片
甲亢合并妊娠,丙硫氧嘧啶片
子宫内膜厚,抗宫炎片
面肌瘫痪,地巴唑片
淋巴炎,盐酸左氧氟沙星胶囊
小儿室性心动过速,盐酸美西律片
血虚眩晕,当归片
肺念珠菌病,克霉唑阴道片
小儿色素沉着息肉综合征,司莫司汀胶囊
肝癌,消癌平片
十二指肠外瘘,肠内营养混悬液(SP)
颈椎后纵韧带骨化症,氨糖美辛肠溶片
小儿湿疹,糠酸莫米松凝胶
先天性全丙种球蛋白低下血症,地塞米松磷酸钠注射液
疼痛性脂肪疝,小儿暖脐膏
青春前期牙周炎,甲硝唑片
小儿肾病综合征,调元大补二十五味汤散
胆道感染,清肝利胆胶囊
热性嗜中性白细胞皮肤病,盐酸左氧氟沙星胶囊
视神经胶质瘤,替尼泊苷注射液
内隐斜,注射用A型肉毒毒素
充血性心力衰竭,氢氯噻嗪片
小儿脑水肿与颅内高压综合征,七叶皂苷钠片
卵巢恶性腹膜间皮瘤,苯丁酸氮芥片
小儿脓胸,盐酸克林霉素胶囊
筋骨懈堕,硫唑嘌呤片
纯红细胞再生障碍,复方皂矾丸
安眠药中毒,十一味金色丸
持续性枕后位、枕横位,保胎无忧胶囊
拟除虫菊类农药中毒,布美他尼片
遗传性蛋白S缺陷症,双嘧达莫片
血清抗精子抗体阳性之不孕症,枸橼酸氯米芬片
小儿获得性免疫缺陷综合征肾病,呋塞米注射液
直肠癌,消癌平片
胃憩室,颠茄片
颅底骨折,伤科接骨片
外阴蛲虫病,妇洁舒洗液
白喉,依托红霉素片
外耳道乳头状瘤,注射用胸腺肽
跟腱前囊炎,消炎镇痛膏
骨髓-胰腺综合征,乌苯美司胶囊
耳疮,氨苄西林胶囊
油漆皮炎,无极膏
小儿中暑和暑热症,复方鲜竹沥液
匐行性脉络膜炎,复方樟柳碱注射液
化脓性脑膜炎,氨苄西林胶囊
妊娠合并急性膀胱炎,诺氟沙星片
多器官功能障碍综合征,辅酶Q10胶囊
休止期脱发,荣发胶囊
小儿营养不良性消瘦,肠内营养乳剂(TP)
小儿血管免疫母细胞淋巴结病,阿莫西林克拉维酸钾(4:1)分散片
麻痹性痴呆,吡拉西坦片
过敏性湿疹,转移因子口服溶液
转换性障碍,氟哌啶醇片
真菌性巩膜炎,复方硫酸新霉素滴眼液
小儿维斯科特-奥尔德里奇综合征,胸腺肽肠溶片
自发性脑室内出血,二十五味珊瑚丸
胎毒,地塞米松磷酸钠注射液
睑板腺癌,注射用硫酸长春新碱
维生素Ａ缺乏症所致的角膜溃疡病,氧氟沙星滴眼液
玻璃体液化,卵磷脂络合碘片
颈椎间盘突出症,氨糖美辛肠溶片
脑炎,安宫牛黄丸
小儿家族性非溶血性黄疸综合征,人血白蛋白
甲醛中毒,吡拉西坦分散片
肺癌骨转移,威麦宁胶囊
口腔疾病,丁硼乳膏
小儿急性呼吸衰竭,樟脑磺酸钠注射液
春季结膜炎,牛黄解毒丸
软腭癌,强力康颗粒
千日疮,转移因子口服溶液
骨化性纤维瘤,强力康颗粒
小儿下腔静脉阻塞综合征,双嘧达莫片
子痫,羚羊角滴丸
隐睾,注射用重组人绒促性素
出血性疾病,芦丁片
小儿阵发性室上性心动过速,盐酸普萘洛尔片
指甲-髌骨综合征,葡萄糖酸锌颗粒
痰浊眩晕,脑立清丸
化脓性汗腺炎,麦迪霉素片
非甲状腺性的病态综合征,甲巯咪唑片
窦性心律失常,黄杨宁片
阴结,马来酸曲美布汀分散片
剥脱性角质松解症,利巴韦林含片
颜面复发性皮炎,咪康唑氯倍他索乳膏
浸渍足,盐酸美他环素片
虱病,吡喹酮片
手部血管损伤,碘酊
皮炎,无极膏
椎管内神经鞘瘤,强力康颗粒
腘动脉陷迫综合征,甲钴胺分散片
锂肾病,包醛氧淀粉胶囊
脑外伤,吡拉西坦片
嗜碱性粒细胞白血病,硫唑嘌呤片
慢性肾盂肾炎,盐酸左氧氟沙星胶囊
消渴病,蜂胶片
慢性根尖牙周炎,甲硝唑片
脊椎结核寒性脓肿穿入空腔脏器,利福喷丁胶囊
局限性胸膜间皮瘤,注射用培美曲塞二钠
马尔尼菲青霉病,胸腺肽肠溶片
Shy-Drager综合征,左卡尼汀口服溶液
前列腺炎,盐酸左氧氟沙星胶囊
完全流产,盐酸屈他维林片
金黄色葡萄球菌性边缘性角膜炎,氯霉素滴眼液
胎漏,盐酸屈他维林片
脐炎,盐酸克林霉素棕榈酸酯分散片
盖氏骨折,复方氨基酸胶囊(8-11)
主动脉瓣关闭不全,注射用硝普钠
盘尾丝虫病,盐酸左旋咪唑片
骨放线菌病,硫酸氨基葡萄糖胶囊
纵隔畸胎瘤,平消片
心肌梗死后心包炎,硬脂酸红霉素片
丑胎,复方乳酸乳膏
癔球症,癫痫宁片
肺炭疽,依托红霉素片
汞中毒,布美他尼片
性病性淋巴肉芽肿,土霉素片
哮喘持续状态,蛤蚧定喘丸
母乳性黄疸,黄柏胶囊
股神经损伤,接骨续筋片
桡骨茎突部狭窄性腱鞘炎,双氯芬酸钠缓释胶囊
血小板减少症,维生素C片
晶状体相关葡萄膜炎,环孢素软胶囊
乳腺癌,转移因子口服溶液
创伤性肩关节后脱位,灵仙跌打片
咽部脊索瘤,苦参碱氯化钠注射液
同种免疫性新生儿血小板减少性紫癜,马来酸氯苯那敏片
风湿性疾病,天麻胶囊
获得性视网膜大动脉瘤,复方樟柳碱注射液
小儿硬化性胆管炎,消炎利胆软胶囊
肤胀,阿奇霉素片
小儿肺栓塞,双嘧达莫片
过敏性结肠炎,猴头菌提取物颗粒
上颌窦恶性肿瘤,羟基脲片
腹腔脓肿,强力康颗粒
哮喘持续状态,氨茶碱片
中毒性高铁血红蛋白血症,维生素C片
发热伴血小板减少综合征,维生素C片
叶酸缺乏所致贫血,当归片
真菌过敏症,氯雷他定糖浆
疝气,小儿暖脐膏
输尿管结核,荡石片
骨髓痨性贫血,乳酸亚铁胶囊
躁狂症,丙戊酸镁片
早产儿贫血,小儿生血糖浆
输血后肝炎,胸腺肽肠溶片
伪膜性肠炎,诺氟沙星胶囊
伴纤维囊性骨炎的假性甲状旁腺功能低下症,左甲状腺素钠片
乙状结肠间疝,十香暖脐膏
十二指肠外瘘,肠内营养乳剂(TP)
小儿范科尼综合征,甘露醇注射液
桡骨茎突骨折,舒筋活血片
骨嗜酸性肉芽肿,注射用盐酸多西环素
距骨骨折,舒筋活血片
顿呛,小儿止咳糖浆
输尿管炎,阿奇霉素片
视盘炎,明目地黄丸
肛门直肠周围脓肿,盐酸左氧氟沙星胶囊
干酪性鼻炎,注射用头孢唑林钠
Usher综合征,龙胆泻肝丸
上巩膜静脉压升高所致青光眼,拉坦前列素滴眼液
胰腺外伤,曲匹布通片
眼眶内海绵状血管瘤,强力康颗粒
矢状窦旁脑膜瘤,苦参碱氯化钠注射液
鼻中隔穿孔,生三七散
青春期厌食症,甘草锌颗粒
毛霉病,麦迪霉素片
皮肤骨髓纤维化,甲磺酸伊马替尼片
干燥性角结膜炎,氧氟沙星滴眼液
靶样含铁血黄素沉积性血管瘤,注射用盐酸平阳霉素
δ-贮存池病,血康口服液
情感性心境障碍,奋乃静注射液
唇风,四维他胶囊
急性淋病,阿奇霉素片
小儿癫痫,左乙拉西坦片
小儿狼疮肾炎,他克莫司胶囊
肛肠息肉,塞来昔布胶囊
小儿囊性纤维性变,西咪替丁片
消渴病,抗饥消渴片
先天性红细胞膜病,参茸卫生丸
肺球孢子菌病,盐酸氨溴索分散片
耳真菌病,氨苄西林胶囊
前置血管,千金保孕丸
继发性血小板增多症,白消安片
黑色丘疹性皮肤病,复方珍珠解毒口服液
阴冷,调经促孕丸
嗜酸性脓疱性毛囊炎,麦迪霉素片
食管癌,消癌平糖浆
血管瘤,鱼肝油酸钠注射液
肝上皮样血管内皮细胞瘤,鱼肝油酸钠注射液
胃、十二指肠溃疡急性穿孔,复方猴头颗粒
过期妊娠,安胎丸
气痢,藿香正气丸
肌营养不良症,维生素E软胶囊
儿童股骨头坏死,通络生骨胶囊
口腔单纯性疱疹,利巴韦林含片
肺损伤,噻托溴铵粉雾剂
急性蜂窝组织炎,乳酸左氧氟沙星片
耳源性脑脓肿,甲硝唑维B6片
氨基酸代谢病,胸腺肽肠溶片
老年急性白血病,醋酸泼尼松片
十二指肠旁疝,小儿暖脐膏
小儿肺脓肿,回生甘露丸
气胀,藿香正气丸
风热感冒,维C银翘片
颗粒细胞瘤,注射用胸腺肽
黄体萎缩不全,枸橼酸氯米芬片
流行性角结膜炎,一清颗粒
小儿消化性溃疡,枸橼酸铋钾颗粒
肢端肥大症性心肌病,三磷酸腺苷二钠片
化脓性葡萄膜炎,复方硫酸新霉素滴眼液
急性单纯性咽炎,慢严舒柠
咽肌痉挛,脑络通胶囊
鄂木斯克出血热,转移因子胶囊
皮肤白细胞破碎性血管炎,醋酸泼尼松片
妊娠合并生殖器疱疹,阿昔洛韦缓释片
甲状腺结核,丙硫氧嘧啶片
胆囊胆固醇沉着症,辛伐他汀胶囊
脓疱性细菌疹,丙酸氯倍他索乳膏
老年人炎症性肠病,依托红霉素片
中间型链球菌感染,诺氟沙星胶囊
皮下裂头蚴病,吡喹酮片
空肠弯曲菌肠炎,盐酸左氧氟沙星胶囊
直肠息肉,塞来昔布胶囊
葡萄球菌性烫伤样皮肤综合征,乳酸左氧氟沙星片
原发性共同性内斜视,注射用A型肉毒毒素
弥漫型间皮瘤,注射用培美曲塞二钠
滴虫性阴道炎,植物萃取抑菌剂
日光皮炎,马来酸氯苯那敏片
虚喘,盐酸氨溴索分散片
酒精性脑萎缩,参志胶囊
偏头痛,阿司匹林肠溶胶囊
副牛痘,乳酸左氧氟沙星片
小儿生长激素缺乏症,重组人生长激素注射液
肠癌,氟尿嘧啶植入剂
淋巴细胞减少症,消癌平片
小儿葡萄状肉瘤,注射用盐酸平阳霉素
药物反应性甲病,伊曲康唑胶囊
心脏转移瘤,苦参碱氯化钠注射液
急性脑内血肿,脑血康胶囊
沙门氏菌性肠炎,盐酸左氧氟沙星胶囊
脊髓梗死,盐酸乙哌立松片
热痉挛,清凉油
炎症性肠道疾病及其伴发的葡萄膜炎,环孢素软胶囊
帽状腱膜下脓肿,盐酸米诺环素胶囊
舌白斑,维生素A软胶囊
高睾酮血症,氨苯蝶啶片
神经系统副肿瘤综合征,苦参碱氯化钠注射液
面部粟粒性狼疮,乳酸左氧氟沙星片
慢性单纯外伤性腰腿痛,双氯芬酸钠凝胶
粒性白细胞缺乏性咽峡炎,参芪十一味颗粒
高镁血症,硫唑嘌呤片
肺孢子丝菌病,伊曲康唑胶囊
己糖激酶缺乏症,桂龙药膏
肠系膜静脉血栓形成,地奥司明片
神思间病,复方吡拉西坦脑蛋白水解物片
裂沟舌,维生素B2片
锁喉痈,盐酸左氧氟沙星胶囊
生殖器疱疹,阿昔洛韦缓释片
心脑血管疾病,依托红霉素片
眶脑膜瘤,强力康颗粒
妊娠合并巨幼红细胞性贫血,腺苷钴胺片
小儿风湿热,阿司匹林肠溶胶囊
肥大性龈炎,一清颗粒
小儿家族性自主神经失调综合征,维生素E软胶囊
急性颌骨骨髓炎,注射用磷霉素钠
肾小管性酸中毒,甘露醇注射液
心阴虚,通脉养心丸
