src_id,tag_id
泪液分泌过多,眼科
外伤后低颅压综合征,神经外科
麻痹性睑外翻,眼科
脑梗塞,神经内科
淋巴瘤引起的肾损害,肿瘤内科
上颌窦炎,耳鼻喉科
斯特奇-韦伯综合征,眼科
肺囊性纤维化,呼吸内科
慢性肉芽肿病,风湿免疫科
老年人食管癌,肿瘤内科
伤口肉毒症,血液科
肾损伤,泌尿外科
胃切除后胆汁返流性胃炎,消化内科
粉碎性骨折,骨外科
小儿嘌呤核苷酸磷酸化酶缺乏,儿科综合
急性间歇性卟啉病,血液科
遗传性凝血因子Ⅴ缺乏症,血液科
急性肺炎,呼吸内科
戒酒综合征,神经内科
咽部狼疮,耳鼻喉科
汗孔角化病,皮肤科
氨基甲酸酯类农药中毒,急诊科
垂体性矮小病,内分泌科
重舌,中医综合
神经莱姆病,神经内科
过敏性眼睑皮肤炎,中医综合
特发性急性小管间质性肾炎,肾内科
消散延迟性肺炎,呼吸内科
习惯性髌骨脱位,骨外科
皮脂腺上皮瘤,肿瘤外科
小儿尿道下裂,小儿外科
先天性视网膜劈裂,眼科
胸部放线菌病,心胸外科
垂体危象与垂体卒中,内分泌科
变性近视的脉络膜萎缩,眼科
输卵管结核,妇科
急性胃粘膜病变,消化内科
多中心性网状组织细胞增生症,风湿免疫科
小儿星形细胞瘤,肿瘤外科
小儿过敏性紫癜肾炎,儿科综合
小儿牛皮癣,皮肤科
舌下腺囊肿,口腔科
小儿赖特综合征,儿科综合
特发性息肉样脉络膜血管病变,眼科
黄斑前膜,眼科
肺宫崎肺吸虫症,呼吸内科
小儿维斯科特-奥尔德里奇综合征,儿科综合
高免疫球蛋白E综合征,血液科
小儿内脏幼虫移行症,儿科综合
白秃疮,中医综合
儿童期情绪障碍,儿科综合
软化斑,肾内科
颈部淋巴结结核,普外科
小肠瘘,普外科
椎管内神经鞘瘤,神经内科
眼外伤,眼科
迁延性昏迷,神经外科
胃类癌瘤,消化内科
泪道阻塞,眼科
内湿,风湿免疫科
妊娠合并肺结核,产科
急性放射性甲状腺炎,内分泌科
急性视网膜坏死综合征,眼科
银屑病甲,皮肤科
腭咽闭合不全,口腔科
烧伤休克,烧伤科
严重肝病引起获得性凝血因子异常,血液科
人格障碍,精神科
制药业引起的皮肤病,皮肤科
先天性喉软骨畸形,耳鼻喉科
肝性脊髓病,神经内科
先天性肌强直,儿科综合
晶状体脱位所致青光眼,眼科
遗传性肾炎,肾内科
下呼吸道感染,呼吸内科
阴虚发热,中医综合
枕大神经痛,神经内科
鼻中隔血肿及脓肿,耳鼻喉科
乳疬,中医综合
槭糖尿病,儿科综合
传染性单核细胞增多症,传染科
分流性高胆红素血症综合征,消化内科
直肠膨出,肛肠科
咽后间隙感染,口腔科
巨大胎儿,产科
视神经撕脱,眼科
鼻窦粘液囊肿,耳鼻喉科
经膈肌肋间疝,心胸外科
神经源性肿瘤,神经外科
肌疝,骨外科
高甘油三酯血症,内分泌科
听神经鞘瘤,耳鼻喉科
移植物抗宿主病,消化内科
腱鞘巨细胞瘤,肿瘤外科
老年人代谢性碱中毒,呼吸内科
无脉络膜症,眼科
石膏综合征,消化内科
胸锁关节脱位,骨外科
难产,产科
医院内感染,传染科
小儿肺动脉高压,儿科综合
小儿月经过多,儿科综合
