src_id,tag_id
老年人厌氧菌性肺炎,支持性治疗
消中,支持性治疗
锌缺乏病,饮食疗法，支持性治疗
风湿性边缘性红斑,药物治疗
化脓性汗腺炎,手术治疗
反社会人格障碍(病态人格),药物治疗
腹水,支持性治疗
毛孢子菌病,药物治疗
血管纤维瘤,药物治疗
睾丸肿瘤,康复治疗
小儿淹溺,及时心肺复苏，药物治疗
荨麻疹性血管炎,药物治疗
精神发育迟滞,病因治疗
慢性化脓性骨髓炎,手术治疗
新生儿消化道重复症,支持治疗
胃潴留,药物治疗
鼾症,手术治疗
腹膜后淋巴结炎,药物治疗
结肠过敏症,康复治疗
小儿错畸形,康复治疗
莱姆病性巩膜炎,药物治疗
糖尿病性神经病,支持性治疗
幽门梗阻,康复治疗
微量元素障碍,支持治疗
神经类疾病,中医治疗
阴茎纤维性海绵体炎,药物治疗
衣原体淋巴肉芽肿,药物治疗
椎弓结核,药物治疗
急性腹膜炎,支持性治疗
小儿原发型肺结核,手术治疗
排卵期出血,物理治疗
重症肌无力,对症治疗
肝肿瘤,化疗
朗格汉斯细胞组织细胞增生症,放射性治疗
肩袖间隙分裂,支持性治疗
纤维毛囊瘤,支持性治疗
青少年及小儿卵巢肿瘤,药物治疗
阴汗,支持性治疗
新生血管性青光眼,手术治疗
原发性膀胱输尿管返流,药物治疗
老年人高钾血症,支持性治疗
亚急性结节性游走性脂膜炎,药物治疗
真两性畸形,支持性治疗
腹膜后感染与脓肿,康复治疗
骨折不愈合,康复治疗
股骨髁上骨折,支持性治疗
外阴神经纤维瘤,药物治疗
昏迷,支持性治疗
老年人败血症,支持性治疗
眼眶纤维肉瘤,支持性治疗
生长激素释放抑制素瘤,药物治疗
子宫内膜不规则脱落,药物治疗
输卵管性不孕,手术治疗
慢性鼻炎,支持治疗
阴茎头包皮炎,药物治疗
组织细胞纤维瘤,药物治疗
胃恶性淋巴瘤,药物治疗
前牙反合,支持性治疗
输卵管上举,支持性治疗
小儿糖原贮积病Ⅵ型,药物治疗
干酪性鼻窦炎,药物治疗
上消化道出血,手术治疗
小儿低氯性氮质血症综合征,对症治疗
支气管发育不全,康复治疗
急性放射性甲状腺炎,支持性治疗
妊娠舞蹈病,康复治疗
药物导致的肺部疾病,对症治疗
胃节律紊乱综合征,支持性治疗
类鼻疽,对症治疗
慢性化脓性胸膜炎,支持性治疗
己糖激酶缺乏症,对症治疗
输卵管癌三联症,支持性治疗
流行性脑脊髓膜炎,药物治疗
雷诺综合征,药物治疗
脑回状颅皮,药物治疗
男性青春期乳房发育,药物治疗
内痔,手术治疗
卵巢纤维组织来源肿瘤,支持性治疗
溶血过度所致贫血,药物治疗
结核性脊髓炎,药物治疗
过期产儿,对症治疗
婴儿肉毒中毒综合征,药物治疗
乳腺病,药物治疗
小儿肢端肥大症和垂体性巨人症,药物治疗
切除术后内疝,支持性治疗
慢性卡他性结膜炎,支持性治疗
秃顶,药物治疗
康诺尔立克次体斑疹热,药物治疗
小儿视网膜母细胞瘤,手术治疗
眼眶击出性骨折,支持性治疗
代偿性多汗症,药物治疗
内脏动脉慢性闭塞,支持性治疗
先天性白内障,支持性治疗
老年性哮喘,药物治疗
急性出血坏死型胰腺炎,手术治疗
爆震性耳聋,药物治疗
老年人急腹症,支持性治疗
先天性肠旋转不良,手术治疗
输卵管妊娠流产,药物治疗
细菌性皮肤病,支持治疗
抗体免疫缺陷病,支持性治疗
肝血管瘤,药物治疗
浸润型肺结核,支持性治疗
小儿原发型肺结核,支持性治疗
脑血吸虫病,药物治疗
结节性硬化症,康复治疗
肠子宫内膜异位,支持性治疗
放射性心脏损害,对症治疗
失认症,药物治疗
获得性免疫缺陷综合征视网膜病变,药物治疗
膀胱过度活动症,康复治疗
骨血管肉瘤,支持性治疗
化脓性脑膜炎,支持性治疗
胫骨结节骨软骨病,药物治疗
感染性肋软骨炎,药物治疗
输尿管脱垂,支持性治疗
结直肠癌,支持治疗
血疸,中医治疗
痉挛性斜颈,康复治疗
艾滋病,药物治疗
肛管内括约肌痉挛性收缩,康复治疗
眼部毛细血管瘤,手术治疗
颅骨纤维异常增生症,药物治疗
女性假两性畸形,康复治疗
男科病,康复治疗
卵巢早衰,支持治疗
先天性前尿道瓣膜,手术治疗
梅杰综合症,康复治疗
先天性膀胱颈挛缩,药物治疗
蚂蚁叮咬,药物治疗
胃节律紊乱综合征,手术治疗
腹股沟滑动疝,手术治疗
腹裂,药物治疗
挤压综合征,药物治疗
小儿多发性硬化,康复治疗
血管炎前期综合征,支持性治疗
阴道壁息肉,手术治疗
腹茧症,康复治疗
珠蛋白生成障碍性贫血,支持性治疗
功能失调性子宫出血病,药物治疗
小儿牙本质生长不全综合征,口腔修复治疗
皮肤恶性黑色素瘤,药物治疗
孟氏骨折,支持性治疗
肾小球肾炎,主要是休息，给予低蛋白、低盐、适量脂肪饮食，利尿、降血压等对症治疗
千日疮,支持性治疗
早产,康复治疗
妊娠瘙痒性荨麻疹性丘疹及斑块病,对症治疗
老年人白细胞减少症和粒细胞缺乏症,药物治疗
范科尼综合征,支持性治疗
暑湿,药物治疗
血色病,药物治疗
原发性腹膜后肿瘤,支持性治疗
血栓闭塞性脉管炎,手术治疗
地高辛中毒,药物治疗
急性中毒性脑炎,药物治疗
小儿便秘,饮食结构调整
湿痹,药物治疗
输卵管炎,药物治疗
细菌性皮肤病,药物治疗
老年性睑外翻,支持性治疗
隐匿型肾炎,药物治疗
单纯糠疹,支持治疗
心脏乳头样弹性纤维瘤,手术治疗
搏动性眼球突出症,手术治疗
视交叉病变,药物治疗
局灶性节段性肾小球硬化,药物治疗
类风湿性关节炎的肾损害,药物治疗
小儿再生障碍性贫血,支持性治疗
先天性胃壁肌层缺损,手术治疗
裂头蚴病,支持性治疗
胆囊-结肠肝曲粘连综合征,手术治疗
眼眶血肿,支持性治疗
瘢痕性脱发,药物治疗
呼吸道异物,支持性治疗
脉络膜裂伤,药物治疗
吉尔伯特综合征,支持性治疗
卵巢囊肿蒂扭转,手术治疗
一氧化碳中毒,药物治疗
原发性皮肤滤泡中心细胞性淋巴瘤,手术治疗
牙髓病,支持性治疗
先天性脑积水,支持性治疗
空鞍综合征,药物治疗
柞蚕蛹脑病,康复治疗
口臭,支持性治疗
少精子症,康复治疗
毛囊皮脂腺囊性错构瘤,支持性治疗
表皮松解性棘皮瘤,支持性治疗
滑膜囊肿,药物治疗
继发于无晶状体眼和人工晶状体眼的青光眼,药物治疗
鼻红粒病,药物治疗
小儿尼曼-皮克病,药物治疗
巨细胞动脉炎和风湿性多肌痛,支持性治疗
单侧肺气肿,药物治疗
颈椎椎弓裂,支持性治疗
小儿心力衰竭,药物治疗
胫骨平台骨折,手术治疗
多骨纤维发育不良,支持性治疗
急性假膜型念珠菌口炎,支持性治疗
体温过低,支持性治疗
阴茎结核,药物治疗
交叉性异位肾,对症治疗
手部神经损伤,支持性治疗
小儿麻痹症,对症治疗
小叶增生,对症治疗
眼部猪囊尾蚴病,支持性治疗
Stargardt病,药物治疗
短P-R综合征,药物治疗
舌咽神经痛,手术治疗
特发性胃肠道嗜酸性细胞浸润综合征,康复治疗
锰中毒,支持性治疗
肾结核,对症治疗
胃切除后吸收不良综合征,对症治疗
妇女多毛症,支持性治疗
妇科炎症,药物治疗
心脏钝性闭合伤,手术治疗
胰头癌,支持性治疗
热痹,药物治疗
先天性胆总管囊肿,手术治疗
小儿丙型病毒性肝炎,支持治疗
硬斑,药物治疗
异染性脑白质营养不良,药物治疗
甲状腺功能亢进症的肾损害,支持性治疗
小儿锌缺乏症,药物治疗
老年人阳性杆菌肺炎,支持性治疗
联合瓣膜病变,药物治疗
阿米巴肠病,支持性治疗
小儿尿道下裂,支持治疗
舌静脉曲张,药物治疗
耳源性脑脓肿,手术治疗
小儿硬皮病,支持性治疗
小儿腺病毒性肺炎,康复治疗
渗出性中耳炎,药物治疗
小儿低血糖,对症治疗
梗阻性尿路疾病,手术治疗
手腕扭伤,药物治疗
嗜碱性粒细胞增多症,药物治疗
餐后血糖过低症,药物治疗
糙皮病样皮疹,支持性治疗
踝部扭伤,支持治疗
急慢性肝炎,康复治疗
维生素B1缺乏病,药物治疗
缺血性坏死,康复治疗
手部血管损伤,支持性治疗
动脉阻塞或狭窄视网膜病变,支持性治疗
结节性多动脉炎性巩膜炎,药物治疗
深脓疱病,支持性治疗
卡他莫拉菌感染,支持治疗
阴道血管肉瘤,药物治疗
掌跖脓疱病,支持性治疗
老年人心脏传导阻滞,药物治疗
肺血管炎,手术治疗
急性乳突炎,支持性治疗
鼻咽肉瘤,放射治疗
喉疮,手术治疗
急性肾小球肾炎,药物治疗
急性假膜型念珠菌口炎,药物治疗
外耳道耵聍腺肿瘤,支持性治疗
睑球粘连,手术治疗
前纵韧带骨化症,康复治疗
致命性中线肉芽肿,支持性治疗
胃肠道癌,靶向治疗
肝热病,康复治疗
增生性毛根鞘瘤,药物治疗
寻常性鱼鳞病,中医治疗
药物相关性青光眼,药物治疗
食管炎,药物治疗
囊虫病,支持性治疗
大动脉炎,支持性治疗
束支折返性室性心动过速,支持性治疗
重复尿道,手术治疗
细菌性肠炎,康复治疗
肛门闭锁,手术治疗
颧骨骨折,支持性治疗
结节性硬化,无有效的治疗方法，多为对症处理
肾盂输尿管连接部梗阻,药物治疗
溃疡病大出血,对症治疗
黏膜相关样组织淋巴瘤,支持性治疗
棘突滑囊炎,康复治疗
小儿回盲肠综合征,康复治疗
霍奇金淋巴瘤,药物治疗
脊髓小脑性共济失调,康复治疗
迷路震荡,药物治疗
中东呼吸综合征,药物治疗
胃心综合征,康复治疗
转移性小肠肿瘤,手术治疗
肛门异物感,外科治疗
原发性单克隆免疫球蛋白病,支持性治疗
自身免疫性肝病,支持治疗
心脏损伤,支持治疗
胃真菌病,药物治疗
单次发作抑郁症,心理治疗
创伤性膈疝,药物治疗
新生儿溶血病,药物治疗
乙型肝炎病毒性关节炎,支持性治疗
小儿疳痢,药物治疗
后天性大疱性表皮松解,支持性治疗
鲍恩病,支持性治疗
