src_id,tag_id
铬及其化合物引起的皮肤病,松子仁
食管受压性吞咽困难,白果（鲜）
直肠内异物,鸡蛋
睡眠型癫痫,菜花
急性放射性甲状腺炎,鸽蛋
小儿牛皮癣,豆腐
成人全垂体功能减退,鹿肉
婴幼儿腹泻,桃仁
白化病,松子仁
胆道癌,鹅肉
Milk-Alkali综合征,栗子（熟）
毛霉病,薇菜
肾皮质化脓性感染,芝麻
颅咽管瘤,芝麻
急性上呼吸道感染,鹅肉
溶血性贫血,杏仁
脑癌,鹿肉
背部弹力纤维瘤,莲子
布卡综合症,鸡蛋
颞叶肿瘤,杏仁
多囊肾,核桃
多汗症,青豆
狐惑,鸡肝
习惯性流产,鸡肉
小儿鞍上生殖细胞瘤,鸡肉
摩擦性苔藓样疹,鸽蛋
蝎子螫伤,腰果
糖原累积症,莲子
成人呼吸窘迫综合征,山药
内分泌性肌病,鸽蛋
小儿心律失常,腰果
肝血管平滑肌脂肪瘤,鸭肝
大肠恶性淋巴瘤,白果（干）
产后痉症,鸡肉
智齿冠周炎,乌骨鸡
慢性咳嗽,鸡肉
视盘水肿,白果（干）
节育手术并发症,鸡蛋
眼球内炎,腰果
萎缩性咽炎,鸡肉
髓内肿瘤,鸡蛋
小儿系统性红斑狼疮,西瓜子仁
视网膜静脉周围炎,芝麻
疖,葵花子仁
外层渗出性视网膜病变,薇菜
胆汁性腹膜炎,芝麻
交感性眼炎,葵花子仁
老年人糖尿病,绿豆
智齿冠周炎,鹿肉
小儿法洛四联症,鸭翅
阴道囊肿,猪肉(瘦)
鼻中隔穿孔,鸡蛋
产褥中暑,鸡蛋
小儿血小板无力症,鸭肉
残窦综合征,鸡蛋
脱发性毛囊炎,白果（鲜）
神经性耳鸣,芝麻
老年便秘,杏仁
老年人食管癌,鸡肉
老年性外阴萎缩,鸡内金
股骨大粗隆结核,鹌鹑蛋
肺原发性结核性复征,豆浆
瘰疬,鸭蛋
皮肤穿入性毛囊和毛囊周角化病,鹅
萎缩性胃炎,白果（鲜）
胆汁性肝硬化,葵花子仁
阑尾寄生虫病,鹿肉
膝关节创伤性滑膜炎,南瓜子仁
头部脂溢性皮炎,白菜
食管裂孔疝,白果（干）
男子乳房发育症,葵花子仁
额叶肿瘤,鸭肝
副流行性感冒,鸡心
急性心肌梗死,莲子
肺转移性肿瘤,鸡蛋
慢性淋巴细胞白血病,鸡肝
臭汗症,莲子
卵巢颗粒细胞瘤,南瓜子仁
支气管炎,鸡肉
先天性肠旋转不良,腰果
食管贲门粘膜撕裂综合征,栗子（熟）
氯喹中毒,鹿肉
右室心肌梗死,芝麻
黑色素瘤,鸡肝
睾丸炎,绿豆
口腔黏膜白斑,葵花子仁
绝经与抑郁症,南瓜子仁
十字韧带损伤,鸡心
苯丙酮尿症,绿豆
甲状腺功能减退,鹅肉
Maffucci综合征,鸭
急性出血性结膜炎,杏仁
先天性无转铁蛋白血症,青豆
尤文氏肉瘤,鸡蛋黄
CD30阳性皮肤T细胞淋巴瘤,莲子
手外伤,鸭肝
老年性昏迷,白果（鲜）
真菌过敏症,腰果
踝关节软骨损伤,鸡
外阴赘生物,绿豆
遗传性共济失调,葵花子仁
先天性睾丸发育不全,腰果
高弓足,鹌鹑蛋
脊柱、脊髓损伤,白果（干）
登革热,莲子
小儿埃可及柯萨奇病毒感染,鸡肉
阴茎结核疹,鸡肉
唇炎,芝麻
卵巢囊肿,鸭肝
骨巨细胞瘤,葵花子仁
晶状体相关葡萄膜炎,花生
短暂性脑缺血发作,鸭肉
创伤性鼻中隔穿孔,薇菜
良性高血压性小动脉性肾硬化,核桃
妊娠疱疹,鹌鹑蛋
慢脾风,鸡蛋黄
小舞蹈病,鸡蛋
小儿烟酸缺乏病,鸡肉
进行性肥厚性间质性神经炎,鸡肝
急性失血所致贫血,鸡蛋
脉络膜黑色素瘤,鸡肝
肾盂旁囊肿,鸡蛋
手足徐动症,葵花子仁
颈部淋巴结结核,白果（干）
磨牙,腰果
结节性多动脉炎伴发的葡萄膜炎,芝麻
月经量少,鸡肝
气管梗阻,鹅
二期梅毒,莲子
高血压肾病,白果（干）
麦粒肿,芝麻
肺炎链球菌败血症,鸡蛋
牙隐裂,桃仁
脱发,鸡蛋
鼻肿瘤,鸡肉
脑癌,鸡心
淋巴瘤引起的肾损害,鸡内金
恐惧症,腰果
春季性结膜炎,杏仁
催乳素瘤,核桃
肾上腺髓质功能亢进,鸡肉
肝肾综合征,莲子
软骨母细胞瘤,鸡蛋黄
药物性肝病,鸡蛋
股骨转子间骨折,小白菜
汗管瘤,杏仁
膀胱脱垂,芝麻
股疝,白果（鲜）
口糜,鸡蛋
内隐斜,芝麻
脾脏原发性恶性肿瘤,鸭蛋
小脑萎缩,杏仁
铜绿假单胞菌感染,鹌鹑蛋
足外翻,荸荠粉
良性肿瘤,绿豆芽
滑膜囊肿,燕麦片
纤维肌痛综合症,松子仁
乳头内陷,鸡蛋
鼻疽假单胞菌肺炎,鸡蛋
冻僵,薇菜
视网膜色素变性,鸡肝
慢性肉芽肿病,鸭肝
尿崩症,鸭肉
恶性纤维组织细胞瘤,莲子
肛门尖锐湿疣,松子仁
小儿胆道蛔虫症,鸡蛋
胃肠道癌,鸡蛋清
成人硬肿症,核桃
肌筋膜炎,鸡蛋
阴茎扭转,蜂蜜
膈下脓肿,鹿肉
急性风湿热肾损害,核桃
呼吸道结核病,芹菜
