src_id,tag_id
癌症伴发的精神障碍,神志不清
女性假两性畸形,闭经
胸壁结核,低热
奇孔古尼亚病毒性疾病,斑丘疹
卵巢囊肿,胸腔积液
前列腺肉瘤,排尿困难及尿潴留
接触性睑皮炎,丘疹
结肠扭转,肠套叠
过强反射性鼻炎,鼻腔中后部出血
成人呼吸窘迫综合征,心源性呼吸窘迫
外伤性乳房脂肪坏死,乳房肿块
心房肥大,心慌
胰头癌,消瘦
小儿病毒性心肌炎,发绀
厥阴头痛,出冷汗
红斑性肢痛症,营养障碍
腹主动脉动脉瘤破裂,便血
原发性甲状腺恶性淋巴瘤,甲状腺肿
人乳头瘤病毒感染,窒息
药物性皮炎,低热
腕舟骨骨折,手腕在大拇指侧的疼痛
眼眶纤维肉瘤,视力障碍
水臌,蜘蛛痣
慢性自律性房性心动过速,心力衰竭
脑脓肿,毒血症
下背部痛,佟新竹
习惯性流产,先兆流产
颌骨骨折,颌骨关节痛
胰腺囊腺癌,背痛
骨囊肿,儿童反复骨折
唇疱疹,口唇严重充血呈红色
肾及输尿管结石,血尿
冻疮,指甲冻伤
睡眠障碍,入睡困难
孤立性直肠溃疡综合征,下腹痛
小儿热性惊厥,惊厥
脂溢性角化病,鳞屑
空肠弯曲菌肠炎,稀便
铁利用性贫血,注意力不集中
慢性中耳炎,耳聋
子宫破裂,腹痛伴休克
亨廷顿病,不自主运动
小儿结核性心包炎,心包积液
慢性扁桃体炎,扁桃体充血
膝关节结核,淋巴结结核
胃粘膜脱垂症,腹痛
乙胺嘧啶中毒,抽搐
脑猪囊尾蚴病,恶心
丝虫病,肉芽肿
药物导致的肺部疾病,肺不张
肾皮质髓质脓肿,胃肠道症状
肺不发育或发育不全,呼吸困难
荚膜组织胞浆菌病,肉芽肿
偏头痛,头昏脑胀四肢无力
持续性肢皮炎,湿疹
先天性白血病,流鼻血
感染性休克,甲皱毛细血管袢数减少
老年人高渗性非酮症糖尿病昏迷,食欲不振
乳酸性酸中毒,神志模糊
口糜,拒食
阴道美丽筒线虫病,瘙痒
双向性室性心动过速,心动过速
维生素E缺乏病,维生素E缺乏
髌股关节疼痛,肢体疼痛
小儿急性肠系膜淋巴结炎,下腹部反跳痛
新生儿肾静脉血栓,恶心
脑肺吸虫病,便血
春季性结膜炎,瘙痒
卵巢宫内膜样肿瘤,盆腔肿块
乙型肝炎病毒相关性肾炎,乙肝表面抗体（...
腺样囊性癌,腮腺无痛性肿块
妊娠性心肌梗死,心肌梗死
中度脂肪肝,呕吐
花斑癣,鳞屑
尿道综合征,泌尿生殖窦
过敏性血管炎和肉芽肿病,胃肠道出血
格斯特曼综合征,震颤
痔,便血
脾功能亢进,肝脾肿大
心脏瓣膜病,小指半月甲呈粉红色
恶性肿瘤,腹部凹陷呈舟状
男性尿道癌,尿道口出现结节...
腹壁坏死性筋膜炎,烦躁不安
老年人腹主动脉瘤,动脉粥样硬化
阴茎结核,阴茎表浅性溃疡
朗格汉斯细胞组织细胞增生症,肝脾肿大
多发性骨骺发育异常,脊柱后突
酒精中毒性神经疾病,木僵
眶假瘤,视力障碍
自身免疫性肝病,发热伴有皮疹
氯丙嗪类中毒,流涎
原发性腹膜后肿瘤,呼吸困难
不动纤毛综合征,呼吸困难
宫颈浸润癌,腹痛
红细胞增多症眼底,疲劳
枸橼酸杆菌肺炎,畏寒
良性颅内高压症,颅内高压
荨麻疹,斑丘疹
晚期产后出血,产后血气痛
大肠息肉,大肠黑变
结肠脂肪瘤,便血
血胸,出冷汗
自身免疫性胰腺炎,腹痛
系统性红斑狼疮性巩膜炎,角结膜干燥症
疟疾肾病,寒战
心房颤动,心律失常
胎记,鲜红斑痣
小儿学校恐怖症,抑郁
婴幼儿上颌骨骨髓炎,抽搐
副伤寒,腹痛
老年大便失禁,肛门松弛
淋巴癌,淋巴结肿大
夏伊-德雷格综合征,便秘
复发性疱疹,瘙痒
阿尔茨海默病性痴呆,目光呆滞
躯体感觉障碍,深感觉障碍
小儿肺动脉高压,心律失常
小儿先天性甲状腺功能减低症,表情淡漠
多发性内分泌肿瘤综合征Ⅰ型,垂体功能减退
脊髓内出血,四肢瘫痪
胆石症,嗳气
急性全自主神经失调症,腹泻
性功能异常伴发的精神障碍,无故发笑
植物神经功能紊乱,假期综合症
流感病毒肺炎,咽痛
小儿甲基丙二酸血症,面部畸形
睡眠型癫痫,脑痉挛
淹溺,神志模糊
慢性外耳道炎,耳痒
臭汗症,自觉汗臭
心阴虚,阴虚体质
小儿鞍上生殖细胞瘤,垂体功能紊乱
阿司匹林诱发哮喘,呼吸困难
毒瘾,恶心
小儿热性惊厥,阵发性或强直性惊厥
膜性肾病,类风湿关节炎
赖氏综合征,衣玉品
脑胶质瘤,持物不稳
腘动脉陷迫综合征,间歇性跛行
肌疝,涂友宝
白血病伴发的精神障碍,人格改变
睾丸损伤,血肿形成
阴道子宫内膜间质肉瘤,排便困难
输卵管结扎术后并发症,盆腔积液
人格障碍,冲动型人格障碍
小儿家族性嗅神经-性发育不全综合征,阴茎短
油性肉芽肿,结节
先天性性联无γ-球蛋白血症,血管性水肿
化脓性角膜炎,剧痛
颅内转移瘤,眩晕
臂丛神经痛,肩部运动受限
化脓性腮腺炎,脸部疼痛
内分泌性肌病,疲劳
老年人胃癌,腹水
布卡综合症,肝脾肿大
地高辛中毒,畏光
额叶癫痫,惊厥
腺癌,胸闷
食管瘢痕性狭窄,吞咽困难
肾上腺髓质增生,眩晕
细菌性角膜溃疡,视力障碍
慢性咽炎,喉咙冒黏液
男性尖锐湿疣,阴茎表浅性溃疡
反流性喉炎,发音改变
阴虚火旺,乏力
眼睑丹毒,丹毒
遗传性肾炎,蛋白尿
巨细胞病毒性葡萄膜炎,视网膜出血
食物变应性和不耐受性,食物过敏
手部神经损伤,拇食指捏物功能障碍
输尿管瓣膜,恶心
鼻咽炎,咳嗽
心包内恶性畸胎瘤,心包填塞
肾盂肿瘤,恶病质
膀胱癌,尿急
肺出血－肾炎综合征,蛋白尿
耳廓假囊肿,耳痒
老年人慢性肾盂肾炎,尿失禁
骨肉瘤,肺部转移
多胎妊娠,胎儿宫内窒息
高原肺水肿,低热
老年人无症状性心肌缺血,血缺氧
尿道结石,尿道弥漫性浸润
母儿ABO血型不合,溶血性贫血
胃下垂,腹痛
嗜酸性细胞胃肠炎,上消化道出血
小脑脑桥角脑膜瘤,剧痛
肱骨干骨折,创伤
后部多形性角膜营养不良,眼压升高
眼眶静脉性血管瘤,眼底改变
中枢神经细胞瘤,脑积水
感染性关节炎,医师
小儿赖特综合征,尿道分泌粘液或...
肠道菌群失调症,腹泻
先天性桡骨缺如,桡骨头发育不良
原发性甲状旁腺功能亢进症与肾病,多饮
颈部开放性损伤,感觉障碍
暴痢,恶心
慢性腰部劳损,肌肉神经痛
多发性骨骺发育异常,手变短
老年人脊髓亚急性联合变性,痴呆
流感嗜血杆菌感染,咽痛
信息成瘾,恶心
血吸虫肠病,便血
银屑病甲,指甲易碎
原发性慢性闭角型青光眼,头昏
胃梅毒,消瘦
耳疖,耳内疼痛
小儿类白血病反应,脾肿大
心脏脂肪瘤,心绞痛
老年期抑郁障碍,失眠
掌跖纤维瘤病,结节
多形红斑样皮疹,代谢性酸中毒
小儿喉痉挛,频繁性惊醒
泌尿生殖系滴虫病,尿频
进行性色素性紫癜性皮病,瘙痒
消化系癌伴血液病综合征,眩晕
骨硬化病,颅内出血
鼻骨骨折,鼻裂
电解质紊乱,昏迷
石棉肺,发绀
边缘性龈炎,牙龈肿胀
脉管畸形,持续性疼痛
特发性急性小管间质性肾炎,体重减轻
贫血,鼻子颜色苍白
创伤性血胸,休克
支气管肺炎,鼻翼扇动
胸痹,胸骨后疼痛
口底多间隙感染,剧痛
恶心和呕吐,腹部肿块
腺病毒性肠炎,腹泻
血清病和血清病样反应,风团
新生儿水肿,新生儿全身水肿
椎动脉型颈椎病,前斜角肌肥厚痉挛
矮小症,驻站医
无脉络膜症,色素脱失
老年人心脑综合征,二尖瓣脱垂
高原脑水肿,反应迟钝
肾虚,尿频
肝大,胆绞痛
小儿完全性肺静脉异位连接,抬举性搏动
单神经病与神经丛神经病,脊柱前突变直局部叩痛
Plummer-Vinson综合征,乏力
肠道病毒所致各系统感染,窒息
乳痨,乳头内陷
小儿特发性室性心动过速,心动过速
食瘕,呕吐
老年人甲状腺功能低下,食欲减退
结核性心包炎,脉压小
副肿瘤性脊髓病,背痛
脑蛛网膜下腔出血,头昏
未分化结缔组织病,光过敏
子宫收缩过强,紧张
脑垂体腺瘤,脑膜刺激症状
淋巴瘤,腹泻
妊娠痒疹,血痂
外阴疣状癌,牙举欢
硬化型骨髓炎,胀痛
沙眼,反复感染
地高辛中毒,恶心与呕吐
腹膜后脓肿,脊肋角膨隆
急性肠系膜上动脉梗死,呼吸困难
新生儿红细胞增多症-高黏滞度综合征,发绀
急性特发性心包炎,心包炎
五积,盖明文
颞骨岩部炎,骨质破坏
小儿磷酸酶过少症,多尿
骨化性肌炎,颈部肌肉肿胀变硬
骶尾部畸胎瘤,排便困难
卵巢破裂,内出血
高睾酮血症,闭经
溶血性黄疸,血红蛋白尿
腰部慢性劳损,弯腰时腰痛
霉菌性外阴炎,发炎
前列腺炎,尿痛
汞及其化合物引起的皮肤病,口腔黏膜白斑
走黄,寒战
肾气不固,尿频
急性腐蚀性胃炎,内出血
多发性骨髓瘤,弥漫性骨质疏松
外阴接触性皮炎,湿疹
肛门周围癌,血栓外痔
网瘾,信息成瘾
小儿脓胸,鼻翼扇动
胆道运动功能障碍综合征,厌食
春季结膜炎,睑结膜的巨大乳头
小儿急性髓样白血病,骨痛
五积,腹痛
结节性液化性脂膜炎,乏力
H7n7,咽痛
癫痫发作与癫痫综合征,频繁发笑
克雷白杆菌属感染,腹腔感染
维生素B1缺乏症,心音低钝
先天性主动脉瓣上狭窄,心脏杂音
小肠结肠炎耶尔森菌肺炎,肺实变
痔疮,结缔组织性外痔
小儿肺不张,低氧血症
急性颌下腺炎,脓性分泌物
运动神经元病,闫铁
先天性颈椎齿状突畸形,颈部疼痛
腹茧症,腹痛伴恶心、呕吐
小肠肿瘤,恶心
格子状角膜营养不良,结节
血瘤,剧烈疼痛
大便失禁,骶部可有皮赘，...
霍奇金病,体重减轻
热哮,喘息
小儿脊髓前动脉综合征,神经根刺激
输尿管肿瘤,腹痛
乳糜泻,下肢水肿
急性脓肿,代超
腺病毒性肺炎,面色苍白
脚气,出脚汗
呼吸性细支气管炎间质肺病,捻发音
小儿尼曼-皮克病,生长缓慢
不动杆菌肺炎,肺部感染
背肌筋膜炎,背部酸痛
坏死性肠炎,精神萎靡
胸腹主动脉动脉瘤,呼吸困难
周围神经损伤,腱反射消失
溴中毒,便血
肠病性肢皮炎综合征,舌炎
