src_id,tag_id
高尿酸血症,类风湿因子
子宫内翻,妇科超声检查
支气管中心性肉芽肿病,经支气管镜肺活检
风痹,尿常规
假麦格综合征,肿瘤标志物检测
外伤后低颅压综合征,颅脑超声检查
老年性昏迷,心电图
网膜囊肿,腹腔镜
火眼,结膜的检查
踝部急性韧带损伤,核磁共振成像(MRI)
感染性关节炎,C-反应蛋白检验（CRP）
支气管哮喘,痰液中柯什曼螺旋体
错构瘤,胸部CT检查
虫证,便常规
房室管畸形,收缩压
血管炎前期综合征,免疫学检测
亚急性甲状腺炎,甲状腺显像
髋关节结核,单腿站立试验
胃急性扩张,血液生化六项检查
副伤寒,"伤寒、副伤寒血清凝集试验（肥达氏试验,肥达反应,Widal）"
原发性肾上腺皮质功能减退症,中剂量地塞米松抑制试验
麻风病,二硝基氯苯试验
恶性脑膜瘤,颅脑CT检查
手术后膈疝,胸部平片
胆石,间接胆红素
心脏脂肪瘤,血常规
胫骨远端爆裂骨折,铅笔滚动试验
小儿肝硬化,肝脏疾病超声诊断
肺原发性结核性复征,胸部透视
慢性细菌性痢疾,疟原虫抗体和抗原
阿斯伯格综合症,颅脑MRI检查
慢性铅中毒,尿铅
鞭虫病,纤维结肠镜检查
荨麻疹,乙肝病毒学指标
多发性骨骺发育不良,骨与关节MRI检查
前列腺增生,膀胱镜
乳头状汗腺腺瘤,免疫病理检查
小儿高血压,血常规
肺部粪类圆线虫病,痰液病原体检查
新生儿休克,氧分压
右心室双出口,血氧饱和度
妇产科静脉血栓病,心电图
输卵管妊娠破裂,后穹窿穿刺术
霍乱样综合征,霍乱弧菌检测
淋巴结结核,胸部CT检查
风温,尿常规
输血后血小板减少性紫癜,全身软组织MRI检查
丹痧,血常规
主动脉弓综合征视网膜病变,眼球和眼眶的超声检查
穿腹膜疝,血常规
腘肌肌腱炎,四肢的骨和关节平片
基底节血肿,心电图
小儿肝衰竭,酶联免疫吸附试验
小儿硬脑膜外脓肿,CT检查
输卵管结核,子宫输卵管造影
儿童遗尿症,泌尿系统CT检查
叶酸缺乏神经病,血清叶酸
葡萄糖-6-磷酸脱氢酶缺乏症,球形红细胞
神经性阳痿,阴茎夜间勃起试验检查
儿童遗尿症,脑电图检查
尿道下裂,膀胱造影
小儿非霍奇金淋巴瘤,血液生化六项检查
小儿营养不良性水肿,血液生化六项检查
颅内转移瘤,颅脑CT检查
皮肤念珠菌病,阴道分泌物检查
混合型慢性高原病,心电图
煎厥,耳鼻咽喉CT检查
耳硬化症,音叉检查
燥邪犯肺,痰液量
小儿血清病,尿常规
多发性肌炎和皮肌炎伴发的精神障碍,病理反射检查
慢性淋巴细胞性白血病,植物血凝素皮内试验
痃癖,腹部外形检查
多发性脑膜瘤,CT平扫
鼻中隔溃疡,鼻部功能检查
颈部纤维瘤,真菌组织病理学
膈下脓肿,膈现象
小儿β地中海贫血,有核红细胞
肌强直性肌病,颅脑MRI检查
淋巴瘤样肉芽肿,胸部平片
风牵偏视,检眼镜检查法
生长激素缺乏症,放射免疫分析
婴幼儿外阴炎,新生儿体格检查
目病,眼科检查
腰椎小关节不稳症,脊柱活动度
输卵管积水,输卵管通气试验
甲状腺功能正常的甲状腺肿大,甲状腺B型超声检查
嗜酸性粒细胞增多-肌痛综合征,血清肌酸激酶同工酶（CKI）
韦尼克脑病,肾功能检查
乳房外湿疹样癌,皮损
人工流产,产科检查
外阴颗粒性肌母细胞瘤,肿瘤标志物检测
麻疹样红斑,抗麻疹病毒抗体
放射性心包炎,脉搏
中风,脑脊液检查-化学检查-蛋白质检查
嘧啶5′-核苷酸缺乏症,周围血白细胞计数及分类检验
外阴梅克尔细胞癌,盆腔MRI检查
混合型脑瘫,脑诱发电位
窦室传导,血液检查
贾第虫病,酶联免疫吸附试验
小儿醛固酮过多症,肾功能检查
眼部猪囊尾蚴病,造影检查
贾第虫病,心电图
淋巴丝虫病,酶联免疫吸附试验
锌中毒,血清锌
妊娠期急性肾功能衰竭,系统胎儿超声检查
腹膜转移癌,血常规
小儿支气管肺发育不全,胸部透视
不均匀性脂肪肝,腹部CT
退行性黄韧带肥厚,核磁共振成像(MRI)
子宫复旧不全,便常规
脉络膜裂伤,眼底荧光血管造影
早期婴儿型癫痫性脑病,颅脑超声检查
α-贮存池病,涂片
侏儒症,吡啶斯的明兴奋GH试验
骨与关节梅毒,梅毒螺旋体抗原血清试验
小儿脊柱裂,尿常规
学习技能发育障碍,颅脑CT检查
呼吸道合胞病毒肺炎,胸部平片
工业毒物中毒性周围神经病,肌电图
热带痉挛性轻截瘫,颅脑MRI检查
原发性急性闭角型青光眼,便常规
妊娠合并原发性高血压,尿常规
疣状胃炎,胃钡餐造影
球孢子菌病,浆细胞
先天性主动脉瓣窦动脉瘤破裂,胸部CT检查
甲状腺肿瘤,甲状腺、甲状旁腺的超声检查
阴汗,尿常规
小肠结肠炎耶尔森菌肠炎,血液及骨髓细菌培养
军团菌病,胸部平片
息积,腹部包块
心包炎,心电图
脊髓缺血性疾病,核磁共振成像(MRI)
十二指肠血管性压迫综合征,胃部检查
纵隔囊肿及肿瘤,胸部透视
Ⅰ型超敏反应性疾病,免疫学检测
脂质沉积性肌病,血清学反应
巨球蛋白血症,免疫学检测
类风湿性关节炎的肾损害,血清补体C3
小儿尖端扭转型室性心动过速,血液酸碱度（pH）
冠状动脉瘤,心电图
强迫型人格障碍,脑电图检查
三尖瓣狭窄,多普勒超声心动图
小儿尿崩症,禁水试验
羰基镍中毒,尿常规
妊娠合并宫颈癌,涂片
系统性红斑狼疮性巩膜炎,皮损
脑血栓,颅脑CT检查
假性动脉瘤,血管彩超
腘动脉陷迫综合征,CT血管成像
自发性脑室内出血,脑血管造影
颅内静脉血栓形成,血管造影
高动力性循环,心血管造影
股疝,钼靶X线检查
高催乳素血症,脑血管造影
糖尿病性神经病,大生化检查
高度近视,裂隙灯
咽后间隙感染,血涂片
老年人血管性痴呆,实体觉
感染性休克,心电图
小儿血管-骨肥大综合征,腹部平片
急性肾炎,血清总补体
小儿维生素D缺乏性手足搐搦症,维生素B6
移行脊椎,脊椎平片
浅表性胃炎,胃镜
结肠炎,便常规
姿态性腰腿痛,脊椎平片
鼻血管瘤,视力
心阴虚,尿常规
先天性巨大色素痣,免疫病理检查
外阴隆凸性皮肤纤维肉瘤,便常规
疣状血管瘤,便常规
结节性脂膜炎,CT检查
遗传性凝血酶原缺乏,部分凝血活酶时间
皮肤纤毛囊肿,皮损
前列腺结石,膀胱镜
小儿转移性骨肿瘤,四肢的骨和关节平片
长Q-T间期综合征,心电图
脑积水,孕尿雌三醇测定（E3）
小儿空鞍综合征,脑垂体CT检查
疱疹样脓疱病,细胞组织化学染色
低血糖,空腹血葡萄糖
小儿先天性主动脉瓣狭窄,胸部MRI
急性气管－支气管炎,血常规
额颞痴呆,颅脑MRI检查
口形红细胞增多症,心电图
杨梅疮,脓汁和创伤感染标本细菌学检查
斑状萎缩,免疫病理检查
剥脱性皮炎型药疹,皮疹
小儿完全性肺静脉异位连接,造影检查
痛性青紫综合征,皮损
小儿黏多糖贮积症,肝脏超声检查
麦粒肿,血常规
小儿肺炎链球菌脑膜炎,脑脊液病原体检查
原发性膀胱输尿管返流,静脉肾盂造影（IVP）
神经白塞病,颅脑CT检查
中心性浆液性脉络膜视网膜病变,瞳孔检查
血疸,粪胆红素
库欣综合征,血浆18-羟-脱氧皮质酮
小儿慢性肾功能衰竭,血常规
小儿气胸,胸部平片
外阴软纤维瘤,阴道分泌物检查
过敏性血管炎,便常规
小儿变应性鼻炎,鼻腔内镜检查
I型糖尿病,T淋巴细胞亚群
肾阴虚,尿常规
小儿转移性骨肿瘤,血常规
老年人类风湿性关节炎,免疫浊度技术
心房内折返性心动过速,胸部平片
副银屑病,涂片
慢性阿米巴性痢疾,粪便寄生虫
硼酸中毒,肾功能检查
消化系统疾病伴发的精神障碍,肝脏疾病超声诊断
枕骨下硬结性毛囊炎,药敏试验
妊娠高血压综合征,血小板黏附试验
真菌性尿路感染,膀胱镜
习惯性便秘,纤维结肠镜检查
子宫恶性中胚叶混合瘤,妇科超声检查
痿病,肌电图
小肠类癌,5-羟吲哚乙酸
品他病,皮损
恶性高血压性小动脉性肾硬化,眼底检查
乳溢,乳腺肿瘤标记（CA 15-3）
化脓性腮腺炎,涂片
化脓性腮腺炎,免疫病理检查
翼下颌间隙感染,口腔X光片检查
弥漫型间皮瘤,免疫电泳
酒精性肝硬化,血清γ-谷氨酰转肽酶同工酶（iso-r-GTP）
肺动静脉瘘,动静脉瘘定位试验
急性化脓性中耳炎,耳、鼻、咽拭子细菌培养
心脏直视手术所致神经疾病,血常规
姿态性腰腿痛,腰背痛体格检查
限制型心肌病,胸部MRI
慢性糜烂性胃炎,尿常规
小儿再生障碍性贫血,骨髓各系细胞形态学检查
慢性宫颈炎,妇科超声检查
小儿睾丸扭转,尿常规
伏梁,腹部透视
老年人脑出血,血液检查
老年女性膀胱颈梗阻,尿流率测定
膀胱上内疝,造影检查
十二指肠炎,十二指肠钡餐造影
慢性肾性贫血,血栓素B2
迁延性昏迷,脑血管造影
天疱疮,血常规
外伤性颈内动脉海绵窦瘘,颅脑CT检查
精囊恶性肿瘤,膀胱镜
小儿乳积,血常规
发芽马铃薯中毒,大生化检查
角膜基质炎,"结核菌素试验（OT,PPD）"
脓胸,痰液中晶体
垂体危象与垂体卒中,精液检查
特发性黄斑裂孔,裂隙灯
雅司病,心电图
男性病,男性性功能测试全面测试
肺隔离症,血管造影
乳发,乳房触诊
重度脂肪肝,肝脏触诊
先天性主动脉弓畸形,胸部平片
小儿动脉导管未闭,心血管MRI检查
气阴两虚,血液检查
外阴肿瘤,周期性阴道涂片
小儿原发性脑干损伤,血常规
先天性全丙种球蛋白低下血症,唾液分泌型免疫球蛋白
须疮,皮肤真菌镜检
老年人梅毒性心脏病,断层显像
晶体脱位,裂隙灯
老年人短暂性大脑缺血性发作,血常规
急性腐蚀性胃炎,造影检查
先天性支气管肺囊肿,胸部MRI
松果体瘤,头颅平片
胆道张力低下综合征,腹部平片
小儿史-约综合征,C-反应蛋白检验（CRP）
氨基酸代谢病,血清酪氨酸
肠瘘,CT检查
圆翳内障,眼位检查法
职业性哮喘,胸部平片
输尿管瓣膜,CT检查
