src_id,tag_id
霍奇金病,螺丝菜
慢性肝炎,鸡血
小儿阿托品类中毒,红葡萄酒
东方马型脑炎,冰糖
瘫痪,田螺
老年人原发性恶性高血压引起的恶性小动脉肾,绿豆
屈光参差,啤酒
特发性股骨头坏死,鸭血(白鸭)
鼻窦炎,赤小豆
小儿急性阑尾炎,白酒
胃畸胎瘤,蛤蜊
原发性皮肤淀粉样变性,白扁豆
咽部硬结病,杏仁
转移性胸膜肿瘤,黄酒
纵隔肿瘤,油豆腐
颅骨骨折,鸭血(白鸭)
溶血性贫血,杏仁
肘关节结核,白酒
弥漫性食管痉挛,黑豆
脓窠疮,田螺
黏膜白色海绵状痣,啤酒
铝尘肺,淡菜(鲜)
蚕豆病,咸鱼
玻璃体及视网膜脱离手术所致青光眼,啤酒
中性粒细胞减少症,白酒
偏头痛,白酒
耳病,鸭蛋
小儿轮状病毒性肠炎,田螺
暴发性肝炎样综合征,鸡蛋
泌尿系结石,猪油（板油）
舌癌,啤酒
小儿白塞病,红葡萄酒
风湿病性贫血,鸭肉
膝关节侧副韧带损伤,腐竹
口底多间隙感染,杏仁
多囊肝,香肠
肾动脉血栓形成和栓塞,干腌菜
小儿潮红综合征,白酒
先天性垂直距骨,腐竹
线粒体脑肌病,螃蟹
毛母质瘤,猪油（板油）
躁狂症,白酒
嗜酸细胞性胃肠炎,白酒
小儿急进性肾小球肾炎,白砂糖
小儿血清病,螃蟹
肾癌,腐竹
先天性白血病,鸭血(白鸭)
手足皲裂,白酒
鼻骨骨折,草鱼
白带异常,田螺
分水岭区脑梗死,羊油
化脓性腱鞘炎,田螺
眼球内陷,腐竹
边缘性龈炎,腐竹
葡萄球菌性食物中毒,虾皮
小儿多源性房性心动过速,螃蟹
泪腺多形性腺瘤,猪肚
膝关节脱位,猪肚
呼吸衰竭,白扁豆
抬头纹,辣椒(红、尖、干)
先天性囊状腺样畸形,红葡萄酒
妊娠呕吐,蜂蜜
病毒性出血热,绿豆
胸腺瘤,啤酒
窦性心动过速,杏仁
腰椎滑脱,啤酒
先天性眼球震颤,螃蟹
急性化脓性乳腺炎,草鱼
鼻后滴漏综合症,咖喱
空肠弯曲菌肠炎,杏仁
肱骨内上髁骨折,草鱼
妊娠合并动脉导管未闭,江米酒
基底细胞腺瘤,杏仁
肩关节脱位,白酒
变异型心绞痛,啤酒
咽后壁憩室,白扁豆
露阴癖,白扁豆
枢椎齿状突骨折,白扁豆
结节性硬化症,蜂蜜
脑膜癌病,咸鸭蛋
产后虚脱,黑豆
慢性淋巴细胞白血病,鸡肝
阑尾炎,白扁豆
老年人食管癌,田螺
老年性睑外翻,田螺
十二指肠损伤,啤酒
复发性溃疡,核桃
脊髓小脑变性症,鹅肉
皮脂缺乏症,白酒
肾上腺性征异常症,白酒
低钾血症肾病,白酒
霜样树枝状视网膜血管炎,咸鸭蛋
主动脉瓣狭窄,白扁豆
小儿肾淀粉样变性,花生（炒）
支气管炎,虾皮
急性播散性脑脊髓炎,鹿肉
阴囊丝虫病,栗子（熟）
小儿常染色体隐性小脑性共济失调,螃蟹
II型糖尿病,猪油（板油）
嗜酸性细胞胃肠炎,南瓜子仁
先天性环状束带,白酒
小儿膀胱-输尿管反流综合征,红葡萄酒
肘关节骨化肌炎,白扁豆
位置性眩晕,泥鳅
小儿卵巢肿瘤,田螺
男性更年期综合症,赤小豆
膀胱咳,虾皮
血管畸形引起的吞咽困难,鸭血(白鸭)
老年人血栓性疾病,江米酒
细菌性角膜溃疡,白扁豆
牙髓炎,啤酒
肾病,腐竹
寻常性鱼鳞病,鳕鱼
泪腺分泌功能减退,鸭血(白鸭)
丹毒丝菌病,白扁豆
髋关节脱位,干腌菜
唇癌,田螺
白秃疮,鳕鱼
巴尔通体病,杏仁
系统性红斑狼疮所致脊髓病,啤酒
氨气中毒,绿豆
鼻窦鳞状细胞癌的眼部病变,鸡肝
创伤性肩关节后脱位,啤酒
血清病和血清病样反应,咸鸭蛋
单纯性脊柱结核,啤酒
凉燥,绿豆
卵巢恶性中胚叶混合瘤,干腌菜
视神经萎缩,鸭肝
糜烂性胃炎,啤酒
小儿亚急性甲状腺炎,花生（炒）
颅内占位性病变引起的头痛,白酒
胎儿窘迫,干腌菜
成人多囊肾,黄酒
颈内动脉海绵窦瘘,松子仁
胸椎间盘突出症,螃蟹
睾丸下降不全,白酒
鼓膜穿孔,杏仁
妊娠合并肝硬化,啤酒
筋骨懈堕,杏仁
额叶肿瘤,啤酒
肌筋膜炎,白酒
胆源性急性胰腺炎,啤酒
低血压,海螺
维生素B6依赖综合征,鸭血(白鸭)
肠出血性大肠埃希杆菌感染,白酒
跖疣,鹿肉
B疱疹病毒感染,田螺
活动盲肠综合征,南瓜子仁
损伤性休克,白酒
血胸,白扁豆
有机氯杀虫剂中毒,绿豆
老年女性膀胱颈梗阻,绿豆
脉络膜脱离,螺丝菜
淋巴癌,青豆
泌尿生殖系放线菌病,鸡蛋黄
虫积,咸鱼
代偿性多汗症,绿豆
喉部创伤,腐竹
小儿遗传性大疱性表皮松解症,螃蟹
支气管结石症,赤小豆
砷及其化合物引起的皮肤病,螃蟹
颅底骨折,鹅肉
细菌性角膜炎,鹅肉
小儿糖原贮积病Ⅱ型,白扁豆
上腔静脉综合征,河蚌
急性蜂窝组织炎,白酒
胃肠道癌,啤酒
c胰岛功能性β细胞瘤,赤小豆
包皮龟头炎,鸡心
多发性骨骺发育不良,咸鸭蛋
肝胃不和,沙丁鱼
小肠平滑肌瘤,螃蟹
脚癣,鸡肝
症瘕,杏仁
功血,杏仁
肺动静脉瘘,咸鸭蛋
眼内转移性肿瘤,白扁豆
紫癜性肾炎,鹿肉
肺脓肿,海虾
X综合征,猪肚
