src_id,tag_id
假性醛固酮减少症,枸橼酸钾缓释片
非特异性尿道炎,阿奇霉素片
急性喉炎,清火栀麦片
肛肠病,马应龙麝香痔疮膏
胆囊切除术后综合征,爱活胆通
桡骨远端骨折,麝香接骨胶囊
男性尖锐湿疣,聚甲酚磺醛栓
心脏转移性恶性黑色素瘤,羟基脲片
皮痹,脉管复康胶囊
冠状动脉供血不足,果糖二磷酸钙片
盆腔淤血综合征,乳酸左氧氟沙星片
咽喉炎,头孢克洛缓释胶囊
恶性高血压,奥美沙坦酯片
髌腱断裂,舒筋活血胶囊
房室结折返性心动过速,苯妥英钠片
泡性眼炎,盐酸西替利嗪片
新生儿心律失常,盐酸甲氯芬酯胶囊
幼年型慢性关节炎及其伴发的葡萄膜炎,氧氟沙星片
食管梅毒,大败毒胶囊
心血管疾病,薯蓣皂苷片
小儿心房扑动,地高辛片
胸腺癌,顺铂注射液
真菌性脑膜炎,注射用头孢曲松钠
肠系膜静脉血栓形成,烟酸占替诺片
雀斑,养荣祛斑膏
老年便秘,天王补心丸
脑血管病,尼莫地平片
屈肌腱损伤,伤科七味片
小儿急性偏瘫,双嘧达莫片
压迫性视神经病变,氢溴酸樟柳碱注射液
子宫内膜厚,抗宫炎片
面肌瘫痪,地巴唑片
小儿室性心动过速,盐酸美西律片
血虚眩晕,当归片
肺念珠菌病,克霉唑阴道片
小儿色素沉着息肉综合征,司莫司汀胶囊
肝癌,消癌平片
肩胛颈及肩胛盂骨折,复方三七胶囊
疼痛性脂肪疝,小儿暖脐膏
慢性颈部软组织损伤,乳酸左氧氟沙星片
视神经胶质瘤,替尼泊苷注射液
股骨头骨折,伤科跌打丸
肾炎,结石通茶
小儿脓胸,盐酸克林霉素胶囊
急性气管－支气管炎,乙酰螺旋霉素片
放射性肾炎,萆薢分清丸
缢死,氟哌噻吨美利曲辛片
黧黑斑,咪康唑氯倍他索乳膏
玻璃体混浊,明目蒺藜丸
金属引起的口腔黏膜疾病,复方氯己定含漱液
腔隙性脑梗死,脑心通胶囊
遗传性补体缺陷病,倍他米松片
分泌性中耳炎,托西酸舒他西林胶囊
棉尘肺,福多司坦片
血清抗精子抗体阳性之不孕症,枸橼酸氯米芬片
颅底骨折,伤科接骨片
高脂蛋白血症,消栓通络片
失眠症,消疲灵颗粒
生长期脱发,滋补生发片
脂溢性脱发,丙酸氟替卡松乳膏
风寒犯肺,阿司匹林肠溶片
副流行性感冒,氨咖黄敏胶囊
白喉,依托红霉素片
宫颈疾病,头孢呋辛酯胶囊
纹状体黑质变性,多潘立酮口腔崩解片
肾阳虚,益肾液
胆固醇肺炎,通宣理肺丸
肺燥,氨苄西林胶囊
先天性青光眼,复明胶囊
皮肤肿瘤,氟尿嘧啶乳膏
骨血管瘤,顺铂注射液
小儿中暑和暑热症,复方鲜竹沥液
出血性脑中风,银杏叶片
原发性食管恶性黑色素瘤,重组人干扰素α-2b注射液
慢性肠炎,乳酸左氧氟沙星片
脂肪肝,三七脂肝丸
肢骨纹状肥大,骨增生镇痛膏
老年收缩期高血压,羟苯磺酸钙胶囊
艾滋病神经系统损害,伊曲康唑口服液
腹型偏头痛综合征,风油精
副溶血孤菌肠炎,复方黄连素片
头痛,清凉油
真菌性巩膜炎,复方硫酸新霉素滴眼液
维生素K缺乏病,人凝血酶原复合物
白血病,消癌平胶囊
甲亢,甲巯咪唑片
自发性脑室内出血,二十五味珊瑚丸
烫伤,烧烫伤膏
中老年男子部分性雄激素缺乏综合征,加味逍遥胶囊
老年人异位抗利尿素分泌综合征,注射用布美他尼
玻璃体液化,卵磷脂络合碘片
角膜损伤,眼氨肽注射液
小儿流行性喘憋性肺炎,头孢克肟颗粒
小儿家族性非溶血性黄疸综合征,人血白蛋白
系统性红斑狼疮伴发的精神障碍,脑蛋白水解物注射液
排卵障碍,地屈孕酮片
物理性变应性,盐酸非索非那定片
丘疹性荨麻疹,氧氟沙星凝胶
小儿迪格奥尔格综合征,转移因子注射液
阿斯匹林不耐受三联症,胸腺肽肠溶片
嗜酸细胞性胃肠炎,甲磺酸培氟沙星片
小儿先天性红细胞生成异常性贫血,富马酸亚铁片
支气管结核,对氨基水杨酸异烟肼片
痰火扰心,头孢丙烯分散片
痰湿阻肺,司帕沙星分散片
隐睾,注射用重组人绒促性素
戈登综合征,盐酸特拉唑嗪胶囊
三焦咳,罗汉果止咳糖浆
前纵韧带骨化症,骨筋丸胶囊
心肌梗塞并发二尖瓣关闭不全,精制冠心颗粒
手足癣,茯蒲洗液
产后喘促,三七血伤宁散
慢性阿米巴性痢疾,奥硝唑片
阴结,马来酸曲美布汀分散片
椎动脉型颈椎病,颈痛片
剥脱性角质松解症,利巴韦林含片
月劳病,盐酸美他环素片
火眼,妥布霉素地塞米松滴眼液
椎管内神经鞘瘤,强力康颗粒
腘动脉陷迫综合征,甲钴胺分散片
吞气症,谷维素片
儿童分离性焦虑障碍,解郁安神颗粒
老年人室性心动过速,心肝宝胶囊
血热崩漏,宫血宁胶囊
脊椎结核寒性脓肿穿入空腔脏器,利福喷丁胶囊
马尔尼菲青霉病,胸腺肽肠溶片
残胃癌,消癌平胶囊
副霍乱,盐酸多西环素胶囊
跟腱前囊炎,骨刺消痛胶囊
脑干梗塞,曲克芦丁片
十二指肠内瘘,TP
肠炎,盐酸左氧氟沙星胶囊
小儿肝硬化,虎驹乙肝胶囊
人类T淋巴细胞病毒感染,磷霉素钙甲氧苄啶胶囊
小儿偏头痛,建曲
口臭,硫酸锌口服溶液
距骨骨折,复方三七胶囊
纵隔畸胎瘤,平消片
桡骨干骨折,跌打损伤丸
丑胎,复方乳酸乳膏
杀鼠剂中毒,大月晶丸
慢性乳头状溃疡性脓皮病,炉甘石洗剂
月经疹,醋酸氟轻松乳膏
韧带炎,生三七散
性病性淋巴肉芽肿,土霉素片
小儿功能性消化不良,多潘立酮片
小儿家族性低血磷性佝偻病,牡蛎碳酸钙胶囊
冠心病,丹参片
高血脂,降脂宁颗粒
有头疽,依诺沙星乳膏
小儿家族性低血磷性佝偻病,醋酸钙颗粒
股神经损伤,接骨续筋片
前列腺囊肿,前列倍喜胶囊
血小板减少症,维生素C片
腕舟骨骨折,伤科跌打片
盆腔炎,左氧氟沙星片
阑尾炎,阑尾消炎片
振栗,强阳保肾丸
老年人颈性眩晕,骨筋丸胶囊
咽部脊索瘤,苦参碱氯化钠注射液
老年人慢性肾功能衰竭,至灵菌丝胶囊
晶体异位和脱位,阿米卡星洗剂
类固醇肌病,氢溴酸加兰他敏注射液
马牙,黄连上清片
小儿呼吸衰竭,樟脑磺酸钠注射液
小儿营养不良性消瘦,维生素E软胶囊
肤胀,阿奇霉素片
小儿硬化性胆管炎,消炎利胆软胶囊
小儿肺栓塞,双嘧达莫片
踝部骨折,灵仙跌打片
癌症,消癌平片
上颌窦恶性肿瘤,羟基脲片
腹腔脓肿,强力康颗粒
肺门淋巴结核,利肺胶囊
口腔颌面部毛细管型淋巴管瘤,六甲蜜胺胶囊
老年痴呆,银杏叶提取物片
医源性气管及主支气管损伤,养阴清肺丸
额叶癫痫,丙戊酸钠缓释片
红眼病,龙胆泻肝丸
输尿管结核,荡石片
赤痢,保儿安颗粒
脑结核瘤,结核丸
小儿色素荨麻疹,肤痒颗粒
特发性低促性腺激素性性腺功能减退症,氢化可的松注射液
躁狂症,丙戊酸镁片
遗精,蛤蚧定喘丸
老年人前列腺增生症,泽桂癃爽片
非梭状芽胞杆菌肌坏死,琥乙红霉素片
肝性脊髓病,和络舒肝胶囊
小儿范科尼综合征,甘露醇注射液
脂肪栓塞综合征,复方骨肽注射液
胃、十二指肠溃疡急性穿孔,硫糖铝咀嚼片
肾上腺危象,醋酸可的松注射液
冠状动脉粥样硬化性心脏病,硝酸甘油片
妊娠合并哮喘,孟鲁司特钠咀嚼片
垂体卒中,麝香抗栓胶囊
肘外翻畸形,接骨七厘片
四氯化碳中毒,注射用硫代硫酸钠
Usher综合征,龙胆泻肝丸
肱骨远端全骨骺分离,阿法骨化醇软胶囊
子宫性不孕,枸橼酸氯米芬胶囊
溃疡性结肠炎,地塞米松片
眼眶内海绵状血管瘤,强力康颗粒
症状性癫痫综合征,盐酸氟桂利嗪胶囊
输精管堵塞,十六味马蔺子丸
鼻中隔穿孔,生三七散
流行性脑脊髓膜炎,注射用盐酸头孢替安
麻黄碱中毒,注射用呋塞米
高脂蛋白血症Ⅴ型,非诺贝特片
乳酸性酸中毒,胰岛素注射液
新型隐球菌性脑膜炎,巴氯芬片
足跟瘀斑,稀甘油
干燥性角结膜炎,氧氟沙星滴眼液
硒及其化合物引起的皮肤病,赛庚啶乳膏
情感性心境障碍,奋乃静注射液
皮肤骨髓纤维化,甲磺酸伊马替尼片
投掷骨折,伸筋丹胶囊
铁利用性贫血,多糖铁复合物胶囊
胃纳呆滞,健胃消食片
慢性化脓性胸膜炎,石膏二十五味散
痴呆,银杏叶提取物片
肺球孢子菌病,盐酸氨溴索分散片
异常γ-球蛋白血症,注射用转移因子
先天性心脏病,地高辛片
高脂血症,辛伐他汀胶囊
肝上皮样血管内皮细胞瘤,鱼肝油酸钠注射液
茶毛虫皮炎,克痒敏醑
胃、十二指肠溃疡急性穿孔,复方猴头颗粒
过期妊娠,安胎丸
气痢,藿香正气丸
口腔单纯性疱疹,利巴韦林含片
肺损伤,噻托溴铵粉雾剂
原发性心脏横纹肌肉瘤,三磷酸腺苷二钠注射液
急性蜂窝组织炎,乳酸左氧氟沙星片
血管内大B细胞淋巴瘤,醋酸地塞米松片
肋间神经痛,去痛片
老年急性白血病,醋酸泼尼松片
陈旧性肺结核,云南白药胶囊
溃疡性皮肤结核,吡嗪酰胺片
脑干肿瘤,吡拉西坦葡萄糖注射液
息贲,通宣理肺丸
流痰,注射用头孢呋辛钠
硬化剂治疗引起的食管损害,盐酸雷尼替丁胶囊
非特异性外阴炎,复方黄松洗液
贲门癌,柘木糖浆
颗粒细胞瘤,注射用胸腺肽
小儿急进性肾小球肾炎,螺内酯片
鼻中隔穿孔,三七胶囊
小肠吸收不良综合征,维生素B1片
卡斯钦-贝克病,阿法骨化醇胶囊
热性嗜中性白细胞皮肤病,头孢克洛缓释胶囊
单纯性疱疹,酞丁安搽剂
强直型脑瘫,肌氨肽苷注射液
缺血性肝炎,拉米夫定胶囊
子宫内膜异位症,醋酸甲羟孕酮片
结核性盆腔炎,金刚藤口服液
妊娠合并生殖器疱疹,阿昔洛韦缓释片
小儿幽门螺杆菌感染,枯草杆菌二联活菌颗粒
鄂木斯克出血热,转移因子胶囊
原发性卵巢类癌综合征,六甲蜜胺胶囊
尘螨过敏性哮喘,茶碱缓释片
营养障碍性多发性神经病,螺旋藻片
肠子宫内膜异位,散结镇痛胶囊
棘上韧带损伤,伤科跌打片
颅内出血,三磷酸腺苷二钠片
直肠息肉,塞来昔布胶囊
葡萄球菌性烫伤样皮肤综合征,乳酸左氧氟沙星片
原发性共同性内斜视,注射用A型肉毒毒素
水痛症,曲安奈德益康唑乳膏
肝性脑病,多烯磷脂酰胆碱注射液
小儿生长激素缺乏症,重组人生长激素注射液
手指撕脱性骨折,接骨丸
急性阑尾炎,妇炎康丸
淋巴细胞减少症,消癌平片
尘螨过敏性哮喘,利肺片
老年性紫癜,断血流胶囊
心脏转移瘤,苦参碱氯化钠注射液
脊髓性肌萎缩,肌氨肽苷注射液
癌肿性关节炎,奥沙普秦肠溶片
足癣,硝酸益康唑乳膏
常染色体隐性遗传性脑动脉病伴白质脑病,肠多糖片
小儿遗尿,人参卫生丸
沙门氏菌性肠炎,盐酸左氧氟沙星胶囊
肥大性脊椎炎,颈康胶囊
单纯性牙周炎,奥硝唑片
炎症性肠道疾病及其伴发的葡萄膜炎,环孢素软胶囊
锌及其化合物引起的皮肤病,倍他米松片
血友病,血宁片
副溶血性弧菌食物中毒,硅炭银片
肱骨头骨折,接骨七厘片
直肠炎,左氧氟沙星片
创伤性骨髓炎,丹参酮胶囊
Plummer-Vinson综合征,硫酸亚铁片
下消化道出血,裸花紫珠胶囊
肠系膜静脉血栓形成,地奥司明片
青春期厌食症,大黄碳酸氢钠片
克罗伊茨费尔特-雅各布病,吡贝地尔缓释片
风热头痛,盐酸可乐定片
裂沟舌,维生素B2片
黄色肉芽肿性肾盂肾炎,头孢克肟分散片
荨麻疹,盐酸西替利嗪滴剂
肠炎,呋喃唑酮片
月经性哮喘,羧甲淀粉钠溶液
小儿风湿热,阿司匹林肠溶胶囊
嗜皮菌病,头孢呋辛酯胶囊
