src_id,tag_id
藏毛囊肿,白菜肉末粥
甲沟炎,蛋花空心菜汤
固定性斜视,胡萝卜猪肝汤
腰部峡部崩裂和脊椎滑脱,双菇番茄黄瓜紫菜汤
戊型病毒性肝炎,双色馒头
谵妄综合征,炸菜花
类固醇肌病,鲜百合冬菇西兰花汤
小肠类癌,香菇冬瓜汤
外伤性乳糜胸,杂粮粥
胆囊结石,胡萝卜芹菜粥
亚急性感染性心内膜炎,白菜红枣牛腩汤
主动脉瓣狭窄合并关闭不全,白菜包子
内分泌性肌病,小枣窝头
充血性脾肿大,蒸肝鸡蛋羹
裂谷热,拌生菜
流行性出血热,豆浆粥
阿尔茨海默病,山药扁豆粥
小儿坏死性龈口炎,玉竹参果猪肉汤
持续性枕横位难产,鲜菇小米粥
分泌性中耳炎,芹菜粥
老年人胆石症,糖醋菜花
屈肌腱损伤,山楂牛肉干
三期梅毒,绿豆芽饺
外阴皮肤脂溢性皮炎,猪肝蛋黄粥
结、直肠黑变病,黄瓜鸡片汤
颈椎过伸性损伤,杂粮粥
咳嗽,黄豆芽拌芦荟
慢性肾性贫血,双菇番茄黄瓜紫菜汤
大脑大静脉瘤,鲜奶核桃粥
包涵体性结膜炎,白菜蛋花粥
小儿溶血尿毒综合征,蘑菇木耳西兰花腐竹汤
先天性鼻部皮样囊肿及瘘管,萝卜粳米粥
草莓状血管瘤,首乌鸡蛋汤
产碱杆菌肺炎,百合荸荠雪梨羹
脊髓血管畸形,核桃鸡肉粥
慢性荨麻疹,紫米红枣粥
小儿流行性感冒,五丝白菜卷
小儿发育性髋脱位,冬瓜鲤鱼汤
肺曲菌病,川贝酿梨
视网膜色素变性,罗汉果金银菜柿饼汤
光感型药疹,鸡肉白薯粥
颈椎间盘突出症,牛奶花生粥
进行性色素性紫癜性皮病,山药饺
鲍恩病,干煸四棱豆
腕舟骨骨折,花生菠菜粥
神经性耳鸣,牛奶杏仁粥
乙型病毒性肝炎,双菇番茄黄瓜紫菜汤
早搏,酿豆腐
小儿食物中毒,冰糖绿豆苋菜粥
胫骨平台骨折,芹菜红枣汤
口底多间隙感染,白菜包子
营养性贫血,蛋黄羹
疱疹样脓疱病,黄花菜炒黄瓜
乳头内陷,紫菜豆腐肉片汤
郁证,空心菜粥
腺样体炎,火腿萝卜粥
年龄相关性白内障,鸡肉白薯粥
骨质增生,生地豆腐滚生菜汤
灼痛,清蒸茄子
皮下脂肪瘤,番茄皮蛋菜汤
主动脉瘤,珊瑚白菜
子宫收缩乏力,鱼烧豆腐
等渗性脱水,菠菜煎豆腐
溶血性黄疸,西式牛奶粥
家族性结肠息肉,百合炒西兰花
结节病,荞麦粥
肠系膜静脉血栓形成,黑木耳芹菜粥
斜视,紫菜芙蓉汤
人为脂膜炎,排骨汤面
中毒性肾病,鲫鱼平菇汤
先天性髋内翻,雪菜肉末粥
急进性肾炎,小米龙眼粥
太田痣,冬瓜菠萝羹
反流性肾病,蔬菜杂烩粥
外阴急性蜂窝组织炎,双菇番茄黄瓜紫菜汤
表皮葡萄球菌肺炎,雪梨百合冰糖饮
颌骨骨髓炎,紫菜色拉卷
老年性心瓣膜病,银耳绿豆粥
结核性脓胸,白菜香菇素翅汤
烫伤,水萝卜丝拌白菜
病毒性上呼吸道感染,冬瓜赤豆汤
创伤性关节炎,苜蓿鸡蛋汤
肾及输尿管重复畸形,花豆腐生菜瘦肉汤
心脏钝性闭合伤,西芹油菜牛奶汁
阴道前壁膨出,小米枣仁粥
肘内翻畸形,番茄鸡蛋煎饼
脑膜炎球菌性脑膜炎,蘑菇烧冬瓜
气管、支气管狭窄,鲜陈白菜汤
神经系统结节病,油菜粥
法洛四联症,香蕉粥
子宫内膜癌,双菇番茄黄瓜紫菜汤
老年性外阴萎缩,鸡蛋木耳粥
持续性枕后位难产,鸡汤馄饨
黄斑前膜,花生杏仁粥
小儿急性呼吸窘迫综合征,番茄苹果芝麻蜜
腹股沟直疝,冬菇烧白菜
高血压眼病,蔬菜杂烩粥
横纹肌肉瘤,清炖猪蹄膀
伴有脂肪瘤样痣的褶皱皮肤,香菇白菜羹
B疱疹病毒感染,三鲜苦瓜汤
椎间隙感染,山药葡萄粥
蛲虫病,小黄瓜凉拌面
围生期心肌病,牛奶菠菜粥
淋巴细胞性脉络丛脑膜炎,芹菜牛肉粥
萎缩性胆囊炎,桂圆黑豆粥
巨细胞动脉炎和风湿性多肌痛,南瓜粥
咽部机械性创伤,白果冬瓜粥
脉络膜血管瘤,小白菜馅包子
肾癌,紫菜豆腐肉片汤
小儿肥胖症,芹菜炒鸡蛋
纤维肉瘤,猪肉玉米粥
其他沙门菌感染,扁豆小米粥
小儿肥胖通气不良综合征,胡萝卜拌莴笋
宫外孕,冰糖绿豆苋菜粥
真菌中毒症,瑶柱生菜白菜汤
小儿淀粉样变性病,西米苹果粥
眼球突出,菠菜双蛋羹
郁证,木耳红枣粥
胎记,番茄芹菜汁
桡骨小头骨骺分离,苹果生菜酸奶汁
蛛网膜下腔出血,冬菇云耳丝瓜豆腐汤
丹毒丝菌病,酿豆腐
小儿阵发性室上性心动过速,黄瓜木耳汤
雷头风,胡萝卜苹果汁
裂沟舌,绿豆芽拌粉皮
染色体异常,香菇油菜
传染性单核细胞增多,海带粳米粥
老年人肺气肿,白萝卜浓汤
溃疡病穿孔,菠菜汤
真菌性甲沟炎,番茄苹果汁
软骨样汗管瘤,松子粥
梅毒性骨软骨炎,青菜包
寒性荨麻疹,豆薯小米粥
髓单核细胞白血病,紫菜芙蓉汤
中毒性肾病,双菇鲫鱼汤
滑膜囊肿,牛奶菠菜粥
肺转移瘤,干贝番茄汤
选择性IgA缺乏症,荞麦粥
色素紫癜性皮炎,芹菜黄瓜素肉汤
急性和亚急性硬脑膜下血肿,黄瓜海带泡菜汤
白内障,草鱼豆腐
尺骨干骨折,小豆鲤鱼汤
心脏穿透伤,小麦粥
真菌性角膜炎,茭白猪肉粥
动脉瘤,胡萝卜咸粥
输尿管结石,香菇炒菜花
原发性纵隔肿瘤,蔬菜杂烩粥
食管间质瘤,广东粥
月状骨骨软骨病,雪菜鸡丝面
特发性非硬化性门脉高压综合征,阿胶炖鸡肉
老年人支原体肺炎,百合贝母煲猪肉
腹部肿块,五香芹菜豆
小儿慢性胃炎,冬瓜荷叶汤
肱骨内髁骨折,炒绿豆芽
支原体肺炎,珊瑚白菜墩
斑疹伤寒立克次体肺炎,芋头肉片粥
严重急性呼吸综合征,排骨蘑菇汤
喉气管食管裂,小米枣仁粥
流感病毒肺炎,苹果粥
急性出血性坏死性肠炎,鸡蛋木耳粥
高原适应不全症,拌生菜
阴茎结核疹,黑芝麻果仁粥
心脏骤停与心肺脑复苏,黑豆蛋粥
透析性骨关节病,鸡肉冬菇蒸饺
神经性耳鸣,燕麦粳米粥
痔核,荞麦粥
重复肾盂输尿管畸形,豆腐皮粥
肾病,核桃肉粉
妊娠高血压综合征眼底病变,菜花沙拉
肌张力异常,鸡肉冬菜饼
急性硬脑膜外血肿,羊腩萝卜丝粥
乳腺脂肪肉瘤,荔枝汁
上颌前突,腰果西兰花
失眠抑郁,芹菜黄瓜素肉汤
咽部狼疮,白菜小米卷
外阴疖病,小米蛋奶粥
先天性脑积水,木耳豆腐丁
急性酒中毒,白萝卜油菜汁
母儿血型不合溶血病,牛奶冬瓜
X综合征,豆腐海鲜汤
气管前间隙感染,牛奶菠菜粥
手足口病,牛奶花生粥
外阴神经纤维瘤,黑芝麻果仁粥
弥漫性掌跖角化病,青菜包
乳泣,红枣黑木耳汤
阴虚发热,清汤鲈鱼羹
创伤性气胸,蔬菜杂烩粥
肺动脉高压,鸡肉虾仁炒面
气虚自汗,银耳羹
小儿消化性溃疡,菠萝粥
肠癌,冬菇木耳瘦肉汤
膈肌膨出,紫菜芙蓉汤
平滑骨肉瘤,冬菇椰菜豆腐粉丝汤
耳后骨膜下脓肿,绿豆薏仁汤
月状骨骨软骨病,雪菜水饺
莱姆病性巩膜炎,煨莲子汤
谵妄综合征,白菜粥
小儿常染色体显性小脑性共济失调,红烧菜花
脑桥中央髓鞘溶解症,蚝油扇贝
大脑凸面脑膜瘤,山药薏米红枣粥
克拉伯病,油菜叶拌豆丝
老年人急腹症,什锦水果羹
胎儿生长受限,虾仁生菜
横位难产,豆薯小米粥
灰指甲,山楂核桃茶
微小度数斜视,拌胡萝卜丝
毛胚细胞瘤,罗汉果金银菜柿饼汤
油彩皮炎,牛奶蒸蛋
肾周围炎,赤小豆冬瓜祛湿汤
髌股关节软骨损伤,乌鸡茯苓汤
小儿热带嗜酸性粒细胞增多症,黑芝麻山药羹
皮肌炎与多发性肌炎,阿胶糯米粥
内脏利什曼病,蘑菇冬瓜汤
老年性外阴萎缩,香菇薏米饭
前列腺病,金银花苦瓜汤
小儿肺动脉高压,酿冬瓜
小肠平滑肌肉瘤,胡萝卜香蕉汁
乙脑伴发的精神障碍,什菜面
鼻腔癌,山药芡实瘦肉粥
坏疽性脓皮症,牛奶蒸蛋
前庭神经元炎,草莓菠菜汁
慢性肝病,人参小米粥
胆结石,冰糖核桃仁糊
小脑扁桃体下疝,西瓜汁
肠道传染病,竹笋米粥
颞骨和下颔骨关节异常,木瓜粥
急性盆腔炎,百合炒西兰花
泪腺分泌功能减退,素炒菠菜
心房扑动与心房颤动,士常山鸡蛋饼
皮下脂肪肉芽肿,田七红花煮鸽蛋
胆石性肠梗阻,莲子芡实粥
跟骨骨骺骨软骨病,酸奶银耳水果羹
小儿IgA肾病,香菇烧麦
视网膜色素变性,紫菜芙蓉汤
皮肌炎,葡萄干粥
先天性颅锁骨发育不全,菠菜豆腐汤
功血,羊肉温补汤
运动神经元病,培根蜜枣粥
产科休克,香菇鸡粒粥
急性淋巴细胞白血病,洋参鸡肉汤
肺动静脉瘘,炸番茄蛋饺
理发师皮炎,紫菜芙蓉汤
癌肿性关节炎,甜菜叶粥
耳石症,面疙瘩
面部肉芽肿,豆腐皮粥
退变性关节病,菠菜双蛋羹
小儿便秘,松子仁烧香菇
子宫内膜增生,木耳拌海蜇
角膜炎,菠菜双蛋羹
斑状萎缩,当归炖鸡
小儿醛固酮过多症,豆薯小米粥
鞍结节脑膜瘤,香菇油菜包
剥脱性皮炎,什锦鸡蛋面
充血性脾肿大,小麦粥
弯曲菌性肠炎,白菜包子
网膜炎,白菜炒豆芽
内痔,菜煎饼
免疫缺陷性肺炎,紫菜芙蓉汤
绝经后子宫内膜癌,蘑菇木耳西兰花腐竹汤
非依赖性物质伴发依赖,紫菜豆腐汤
疮疡,拌嫩香椿芽
骨肉瘤,豆豉鲜鱼
咽喉痛,牛奶菠菜粥
月经病,竹筒蒸草鱼
钙化性肌腱炎,蔬菜杂烩粥
闭合性气胸,桔梗粥
腱鞘炎,鸡肉蛋花汤
氯喹中毒,清炒木耳菜
老年人缺铁性贫血,菠菜粥
颌骨骨折,羊肉温补汤
地中海贫血,花生奶露
老年人消化性溃疡,珍珠菜花汤
颞叶肿瘤,菠菜豆腐汤
子宫颈残端癌,猪肝绿豆粥
乙状窦血栓性静脉炎,玻璃白菜汤
双向性室性心动过速,菠菜豆腐汤
睾丸畸胎瘤,猕猴桃西芹汁
急性膀胱炎,绿豆奶粥
静脉曲张,川草鱼
软骨肉瘤,海带瘦肉粥
婴儿期短暂性低丙球蛋白血症,鸡肉虾仁炒面
糖尿病,山楂核桃茶
有机磷农药中毒,西式牛奶粥
神经卡压综合征,猪肉青菜粥
小儿慢性良性中性粒细胞减少症,蘑菇木耳饺
小儿肺泡性蛋白沉积症,莲藕乌豆煲乳鸽汤
骶髂关节扭伤,西兰花炒虾仁
老年病,五香芹菜豆
Goodpasture综合征,柿饼粥
外伤性白内障,牛奶菠菜粥
倒经,栀子粥
绝经期尿路感染,芹菜炒香菇
腱鞘炎,竹筒蒸草鱼
涎腺癌,肉桂粥
脑梗塞,海带粳米粥
尿崩症,海参鸭肉粥
扁平疣,素炒黄豆芽
滴虫性外阴炎,杏子粥
心血不足,菠菜双蛋羹
叶酸缺乏症,鲜百合冬菇西兰花汤
腹腔脓肿,芝麻油菜
男性生殖系结核,紫菜瘦肉粥
慢性化脓性鼻窦炎,萝卜枸杞玉米粥
小儿潮红综合征,生菜包肉
胸腺瘤,百果西米羹
大肠癌,红烧蘑菇
漏斗胸,瓜粒杂锦汤
旅行者腹泻,百合花鸡蛋羹
人工关节置换术后关节感染,酸奶油芝麻茄泥
热痹,番茄拌菜花
强迫症,荠菜豆腐羹
乳糜腹,牛奶麦片粥
内湿,白果莲子粥
恶性葡萄胎,苡米鸡汤
睾丸囊肿,冬瓜粥
胞痹,虾仁豆腐羹
小儿急性化脓性甲状腺炎,西式牛奶粥
结核性脓胸,白菜小米卷
胫腓骨干骨折,地瓜牛奶
膜增生性肾小球肾炎,西瓜瘦肉汤
眼眶平滑肌瘤,猪肝绿豆粥
外伤性白内障,番茄草莓汁
恶性黑素瘤,紫菜豆腐汤
胃溃疡出血,雪梨莲藕汁
浆细胞白血病,苹果生菜酸奶汁
毛囊炎,香菇油菜
阿片类药物中毒,糯米粥
舌咽神经痛,豆芽豆腐汤
屈光参差,双菇番茄黄瓜紫菜汤
妊娠合并肝硬化,蛋黄菜花汤
宫颈癌前病变,五丝白菜卷
创伤性气胸,小麦粥
骨旁骨肉瘤,海带绿豆糖水
带状疱疹,黄瓜粳米粥
枢椎椎体骨折,大白菜饺
先天性主动脉瓣上狭窄,海米白菜汤
恒定性外斜视,羊肝羹
阿尔采末病,红扁豆粥
胸椎椎管狭窄症,草鱼豆腐
急性肺炎,小米面甜沫
免疫缺陷者肺炎,冬菇排骨白菜墨鱼干汤
小肠腺癌,萝卜枸杞玉米粥
胸腰椎骨折,冬菜鸭肝汤
睡眠呼吸暂停综合征,菠菜豆腐汤
男性乳腺癌,芹菜牛肉粥
急性化脓性腮腺炎,卷心菜烧肉蒸饺
眼眶静脉性血管瘤,香菇烧油菜
家族性结肠息肉,腰果西兰花
产后甲状腺炎,豆腐海带汤
人为性皮炎,香菇炒菜花
跖疣,清汤白菜卷
老年癌症病人的急性感染,西芹芦荟
颈部水囊瘤,花生杏仁粥
麻黄碱中毒,冬瓜草鱼汤
肺大泡,冬瓜粒杂锦汤
食管癌,芝麻桃仁粥
风疹,生菜鸡丝
小儿单纯性血尿,川草鱼
男性病,雪菜胡萝卜
不孕不育,牛肉馅饼
夏季皮炎,香菇油菜包
坏疽性脓皮症,花生牛奶炖银耳
大疱性表皮松解,豆薯小米粥
双侧束支传导阻滞,双菇番茄黄瓜紫菜汤
软骨发育异常,丝瓜豆腐响螺汤
足外翻,紫菜芙蓉汤
假性尖锐湿疣,豆腐皮春卷
早孕,人参乌骨鸡
远端肾小管性酸中毒,鸡丝拌芹菜
肝结核,莲子红豆沙
小儿神经纤维瘤病,蘑菇鸡丝蛋花汤
缺血性肠绞痛,萝卜生菜汤
剥脱性皮炎型药疹,番茄菠萝汁
内分泌功能亢进,牛奶蛋花粥
浆膜下肌瘤,山药蛋黄粥
慢性萎缩性肢皮炎,苋菜鱼头豆腐汤
高原性心脏病,奶汁白菜条
电击伤所致脊髓病,猪肝泥
急性化脓性胃炎,大白菜饺
神经性皮炎,百合粳米鸡
肠易激综合征,菠菜豆腐汤
急性腰背部扭伤,小米素羹
回归热,大白菜饺
小儿膀胱-输尿管反流综合征,木瓜胡萝卜玉米粥
肾动脉瘤,苹果泥
先天性静脉畸形肢体肥大综合征,玉竹白菜
老年人急性左心衰竭,生菜拌蛋片
慢性肉芽肿病,荸荠粥
急性乳腺炎,芋头糕
溃疡性肠炎,黑芝麻果仁粥
光敏性皮炎,香蕉蜂蜜奶
胆囊良性肿瘤,山药葡萄粥
发育迟缓,牛奶大米饭
口腔单纯性疱疹,番茄生菜沙拉
颅骨巨细胞瘤,核桃鸡肉粥
鼓膜穿孔,芹菜金菇竹笋汤
胃肠道功能紊乱,茼蒿拌豆干
绦虫病,胡萝卜苹果汁
膀胱癌,萝卜粳米粥
颈椎后纵韧带骨化症,杂粮粥
气胀,薏米汤
毛囊脓疱病,冬菇椰菜豆腐粉丝汤
子宫破裂,香菇扒小白菜
咽部麻风,菠菜豆腐汤
无功能垂体腺瘤,鸡蛋芹菜炒饭
急性心功能不全,小米粉粥
过敏性急性小管间质性肾炎,赤小豆粥
子宫内膜息肉,牛奶菠菜粥
皮肤松垂,红枣黑豆炖鲤鱼
心动过速性心肌病,鲜蘑豆腐汤
亚急性甲状腺炎,鲜熘鸭肝
闭合性气胸,黑木耳芹菜粥
胸椎结核椎旁脓肿穿入胸腔,罗汉果金银菜柿饼汤
静脉血栓形成,豆薯小米粥
膝关节侧副韧带损伤,菜花泥子汤
直肠内套叠,煎芝麻地瓜饼
旅游者腹泻,胡萝卜牛肉水饺
脑膜炎,油菜丝炒面
隐睾,牛奶蛋花粥
密集恐惧症,白菜虾仁面汤
肛周湿疹,苦瓜荠菜瘦肉汤
唇癌,薏仁绿豆汤
先天性心包缺如或缺损,香菇鸡粒粥
先天性远端尺桡关节半脱位,冬菇排骨白菜墨鱼干汤
颈椎结核,荞麦粥
脊椎结核,花生杏仁粥
急性共同性斜视,牛奶玉米汤
鼻疽,芹菜炒鸡蛋
噪声病,赤小豆粥
感染性腹主动脉瘤,干丝黄豆芽汤
肠气囊肿,山药羊肉粥
小儿急性喉炎,萝卜糕
肢骨纹状肥大,雪菜肉末粥
热汗,清汤冬瓜
胃扭转,芝麻茄条
膀胱囊肿,鸭梨粥
神经源性膀胱,玉米粥
脂溢性脱发,酿豆腐
甲亢,白果芥蓝
少枝胶质细胞瘤及间变少枝胶质细胞瘤,油菜拌猪肝
拇外翻,鸡肉炒藕丝
间质性肺炎,土豆泥牛奶粥
感染性腹主动脉瘤,清盐菜花
药物免疫性血小板减少性紫癜,杞子南枣煲鸡蛋
小儿感冒,白菜粥
尿道结核,糙米排骨粥
潜水性内耳损伤,鸡蛋木耳粥
