src_id,tag_id
伊索特·塞耶,长角水蛇学院
阿特米希亚·勒夫金,赫奇帕奇学院
韦恩·霍普金斯,赫奇帕奇学院
西尔瓦努斯·凯特尔伯恩,赫奇帕奇学院
西莫·斐尼甘,格兰芬多学院
阿不思·邓布利多,格兰芬多学院
莱姆斯·卢平,格兰芬多学院
萨默斯,赫奇帕奇学院
忒修斯·斯卡曼德,赫奇帕奇学院
尼法朵拉·唐克斯,赫奇帕奇学院
胖修士,赫奇帕奇学院
布丽奇特·温洛克,赫奇帕奇学院
劳拉·马德莱,赫奇帕奇学院
埃莉诺·布兰斯通,赫奇帕奇学院
格罗根·斯顿普,赫奇帕奇学院
夏比,赫奇帕奇学院
加布里埃尔·杜鲁门,赫奇帕奇学院
杜格德·麦克费尔,赫奇帕奇学院
罗丝·泽勒,赫奇帕奇学院
赫尔加·赫奇帕奇,赫奇帕奇学院
伍德克罗夫特的汉吉斯,赫奇帕奇学院
瑟拉菲娜·皮奎利,长角水蛇学院
纽特·斯卡曼德,赫奇帕奇学院
西弗勒斯·斯内普,斯莱特林学院
塞德里克·迪戈里,赫奇帕奇学院
血人巴罗,斯莱特林学院
尼古拉斯·德·敏西-波平顿,格兰芬多学院
阿尔法德·布莱克,斯莱特林学院
弗利蒙·波特,格兰芬多学院
阿布拉克萨斯·马尔福,斯莱特林学院
伊格内希娅·怀尔德史密斯,拉文克劳学院
奥赖恩·布莱克,斯莱特林学院
雷古勒斯·布莱克,斯莱特林学院
阿克图勒斯·布莱克二世,斯莱特林学院
菲尼亚斯·奈杰勒斯·布莱克,斯莱特林学院
贝尔维娜·布莱克,斯莱特林学院
沃尔布加·布莱克,斯莱特林学院
雷古勒斯·布莱克一世,斯莱特林学院
赫普兹巴·史密斯,赫奇帕奇学院
桃金娘·沃伦,拉文克劳学院
西格纳斯·布莱克二世,斯莱特林学院
莉莉·伊万斯,格兰芬多学院
威尔克斯,斯莱特林学院
埃拉朵拉·布莱克,斯莱特林学院
天狼星·布莱克二世,斯莱特林学院
查莉丝·布莱克,斯莱特林学院
小天狼星·布莱克,格兰芬多学院
詹姆·波特,格兰芬多学院
罗伊纳·拉文克劳,拉文克劳学院
卢克丽霞·布莱克,斯莱特林学院
卡西欧佩娅·布莱克,斯莱特林学院
波佩图阿·范考特,拉文克劳学院
卡多根,格兰芬多学院
苏珊·博恩斯,赫奇帕奇学院
拉弗恩·德·蒙莫朗西,拉文克劳学院
秋·张,拉文克劳学院
罗恩·韦斯莱,格兰芬多学院
乔治·韦斯莱,格兰芬多学院
扎卡赖斯·史密斯,赫奇帕奇学院
金妮·韦斯莱,格兰芬多学院
安东尼·戈德斯坦,拉文克劳学院
弗雷德·韦斯莱,格兰芬多学院
厄尼·麦克米兰,赫奇帕奇学院
泰瑞·布特,拉文克劳学院
汉娜·艾博,赫奇帕奇学院
卢娜·洛夫古德,拉文克劳学院
米勒娃·麦格,格兰芬多学院
多洛雷斯·乌姆里奇,斯莱特林学院
韦伯·布特,猫豹学院
厄克特,斯莱特林学院
奎妮·戈德斯坦,普克奇学院
博尔,斯莱特林学院
C.沃林顿,斯莱特林学院
罗米达·万尼,格兰芬多学院
杰克·斯劳珀,格兰芬多学院
艾琳·普林斯,斯莱特林学院
吉米·珀克斯,格兰芬多学院
布鲁图斯·马尔福,斯莱特林学院
塞普蒂默斯·马尔福,斯莱特林学院
